,,,,
,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered
timestamp,,,,
2024-07-25 09:31:57,0,0,0,10000
2024-07-25 09:31:58,0,0,0,10000
2024-07-25 09:31:59,0,0,0,10000
2024-07-25 09:32:00,0,0,0,10000
2024-07-25 09:32:01,0,0,0,10000
2024-07-25 09:32:02,0,0,0,10000
2024-07-25 09:32:03,0,0,0,10000
2024-07-25 09:32:04,0,0,0,10000
2024-07-25 09:32:05,0,0,0,10000
2024-07-25 09:32:06,0,0,0,10000
2024-07-25 09:32:07,0,0,0,10000
2024-07-25 09:32:08,0,0,0,10000
2024-07-25 09:32:09,0,0,0,10000
2024-07-25 09:32:10,0,0,0,10000
2024-07-25 09:32:11,0,0,0,10000
2024-07-25 09:32:12,0,0,0,10000
2024-07-25 09:32:13,0,0,0,10000
2024-07-25 09:32:14,0,0,0,10000
2024-07-25 09:32:15,0,0,0,10000
2024-07-25 09:32:16,0,0,0,10000
2024-07-25 09:32:17,0,0,0,10000
2024-07-25 09:32:18,0,0,0,10000
2024-07-25 09:32:19,0,0,0,10000
2024-07-25 09:32:20,0,0,0,10000
2024-07-25 09:32:21,0,0,0,10000
2024-07-25 09:32:22,0,0,0,10000
2024-07-25 09:32:23,0,0,0,10000
2024-07-25 09:32:24,0,0,0,10000
2024-07-25 09:32:25,0,0,0,10000
2024-07-25 09:32:26,0,0,0,10000
2024-07-25 09:32:27,0,0,0,10000
2024-07-25 09:32:28,0,0,0,10000
2024-07-25 09:32:29,0,0,0,10000
2024-07-25 09:32:30,0,0,0,10000
2024-07-25 09:32:31,0,0,0,10000
2024-07-25 09:32:32,0,0,0,10000
2024-07-25 09:32:33,0,0,0,10000
2024-07-25 09:32:34,0,0,0,10000
2024-07-25 09:32:35,0,0,0,10000
2024-07-25 09:32:36,0,0,0,10000
2024-07-25 09:32:37,0,0,0,10000
2024-07-25 09:32:38,0,0,0,10000
2024-07-25 09:32:39,0,0,0,10000
2024-07-25 09:32:40,0,0,0,10000
2024-07-25 09:32:41,0,0,0,10000
2024-07-25 09:32:42,0,0,0,10000
2024-07-25 09:32:43,0,0,0,10000
2024-07-25 09:32:44,0,0,0,10000
2024-07-25 09:32:45,0,0,0,10000
2024-07-25 09:32:46,0,0,0,10000
2024-07-25 09:32:47,0,0,0,10000
2024-07-25 09:32:48,0,0,0,10000
2024-07-25 09:32:49,0,0,0,10000
2024-07-25 09:32:50,0,0,0,10000
2024-07-25 09:32:51,0,0,0,10000
2024-07-25 09:32:52,0,0,0,10000
2024-07-25 09:32:53,0,0,0,10000
2024-07-25 09:32:54,0,0,0,10000
2024-07-25 09:32:55,0,0,0,10000
2024-07-25 09:32:56,0,0,0,10000
2024-07-25 09:32:57,0,0,0,10000
2024-07-25 09:32:58,0,0,0,10000
2024-07-25 09:32:59,0,0,0,10000
2024-07-25 09:33:00,0,0,0,10000
2024-07-25 09:33:01,0,0,0,10000
2024-07-25 09:33:02,0,0,0,10000
2024-07-25 09:33:03,0,0,0,10000
2024-07-25 09:33:04,0,0,0,10000
2024-07-25 09:33:05,0,0,0,10000
2024-07-25 09:33:06,0,0,0,10000
2024-07-25 09:33:07,0,0,0,10000
2024-07-25 09:33:08,0,0,0,10000
2024-07-25 09:33:09,0,0,0,10000
2024-07-25 09:33:10,0,0,0,10000
2024-07-25 09:33:11,0,0,0,10000
2024-07-25 09:33:12,0,0,0,10000
2024-07-25 09:33:13,0,0,0,10000
2024-07-25 09:33:14,0,0,0,10000
2024-07-25 09:33:15,0,0,0,10000
2024-07-25 09:33:16,0,0,0,10000
2024-07-25 09:33:17,0,0,0,10000
2024-07-25 09:33:18,0,0,0,10000
2024-07-25 09:33:19,0,0,0,10000
2024-07-25 09:33:20,0,0,0,10000
2024-07-25 09:33:21,0,0,0,10000
2024-07-25 09:33:22,0,0,0,10000
2024-07-25 09:33:23,0,0,0,10000
2024-07-25 09:33:24,0,0,0,10000
2024-07-25 09:33:25,0,0,0,10000
2024-07-25 09:33:26,0,0,0,10000
2024-07-25 09:33:27,0,0,0,10000
2024-07-25 09:33:28,0,0,0,10000
2024-07-25 09:33:29,0,0,0,10000
2024-07-25 09:33:30,0,0,0,10000
2024-07-25 09:33:31,0,0,0,10000
2024-07-25 09:33:32,0,0,0,10000
2024-07-25 09:33:33,0,0,0,10000
2024-07-25 09:33:34,0,0,0,10000
2024-07-25 09:33:35,0,0,0,10000
2024-07-25 09:33:36,0,0,0,10000
2024-07-25 09:33:37,0,0,0,10000
2024-07-25 09:33:38,0,0,0,10000
2024-07-25 09:33:39,0,0,0,10000
2024-07-25 09:33:40,0,0,0,10000
2024-07-25 09:33:41,0,0,0,10000
2024-07-25 09:33:42,0,0,0,10000
2024-07-25 09:33:43,0,0,0,10000
2024-07-25 09:33:44,0,0,0,10000
2024-07-25 09:33:45,0,0,0,10000
2024-07-25 09:33:46,0,0,0,10000
2024-07-25 09:33:47,0,0,0,10000
2024-07-25 09:33:48,0,0,0,10000
2024-07-25 09:33:49,0,0,0,10000
2024-07-25 09:33:50,0,0,0,10000
2024-07-25 09:33:51,0,0,0,10000
2024-07-25 09:33:52,0,0,0,10000
2024-07-25 09:33:53,0,0,0,10000
2024-07-25 09:33:54,0,0,0,10000
2024-07-25 09:33:55,0,0,0,10000
2024-07-25 09:33:56,0,0,0,10000
2024-07-25 09:33:57,0,0,0,10000
2024-07-25 09:33:58,0,0,0,10000
2024-07-25 09:33:59,0,0,0,10000
2024-07-25 09:34:00,0,0,0,10000
2024-07-25 09:34:01,0,0,0,10000
2024-07-25 09:34:02,0,0,0,10000
2024-07-25 09:34:03,0,0,0,10000
2024-07-25 09:34:04,0,0,0,10000
2024-07-25 09:34:05,0,0,0,10000
2024-07-25 09:34:06,0,0,0,10000
2024-07-25 09:34:07,0,0,0,10000
2024-07-25 09:34:08,0,0,0,10000
2024-07-25 09:34:09,0,0,0,10000
2024-07-25 09:34:10,0,0,0,10000
2024-07-25 09:34:11,0,0,0,10000
2024-07-25 09:34:12,0,0,0,10000
2024-07-25 09:34:13,0,0,0,10000
2024-07-25 09:34:14,0,0,0,10000
2024-07-25 09:34:15,0,0,0,10000
2024-07-25 09:34:16,0,0,0,10000
2024-07-25 09:34:17,0,0,0,10000
2024-07-25 09:34:18,0,0,0,10000
2024-07-25 09:34:19,0,0,0,10000
2024-07-25 09:34:20,0,0,0,10000
2024-07-25 09:34:21,0,0,0,10000
2024-07-25 09:34:22,0,0,0,10000
2024-07-25 09:34:23,0,0,0,10000
2024-07-25 09:34:24,0,0,0,10000
2024-07-25 09:34:25,0,0,0,10000
2024-07-25 09:34:26,0,0,0,10000
2024-07-25 09:34:27,0,0,0,10000
2024-07-25 09:34:28,0,0,0,10000
2024-07-25 09:34:29,0,0,0,10000
2024-07-25 09:34:30,0,0,0,10000
2024-07-25 09:34:31,0,0,0,10000
2024-07-25 09:34:32,0,0,0,10000
2024-07-25 09:34:33,0,0,0,10000
2024-07-25 09:34:34,0,0,0,10000
2024-07-25 09:34:35,0,0,0,10000
2024-07-25 09:34:36,0,0,0,10000
