,,,,,globalP,globalP,globalP,globalP,packetP,packetP,packetP,packetP,sessionP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,phoenix_memory_pool_create_count_cm_globalP_smf,phoenix_memory_pool_destroy_count_cm_globalP_smf,total_allocated_memory_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,phoenix_memory_pool_create_count_cm_packetP_smf,phoenix_memory_pool_destroy_count_cm_packetP_smf,total_allocated_memory_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,phoenix_memory_pool_create_count_cm_sessionP_smf,phoenix_memory_pool_destroy_count_cm_sessionP_smf,total_allocated_memory_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,phoenix_memory_pool_create_count_cm_transactionP_smf,phoenix_memory_pool_destroy_count_cm_transactionP_smf,total_allocated_memory_transactionP_smf
timestamp,,,,,,,,,,,,,,,,,,,,
2024-07-26 06:53:56,0,0,0,10000,8,39,0,511.998046875,11,444,436,512.0,5,52,5,511.998046875,2,150,145,512.0
2024-07-26 06:53:57,0,0,0,10000,8,39,0,511.998046875,11,457,449,512.0,5,52,5,511.998046875,2,153,148,512.0
2024-07-26 06:53:58,1,0,0,9999,8,39,0,511.998046875,11,488,477,512.0,8,86,12,511.998046875,3,164,159,512.0
2024-07-26 06:53:59,2,0,0,9998,8,39,0,511.998046875,14,520,506,512.0,8,120,19,511.998046875,3,175,170,512.0
2024-07-26 06:54:00,3,0,0,9997,8,39,0,511.998046875,18,558,541,512.0,8,154,26,511.998046875,3,186,181,512.0
2024-07-26 06:54:01,4,0,0,9996,8,39,0,511.998046875,21,597,577,512.0,8,188,33,511.998046875,3,197,192,512.0
2024-07-26 06:54:02,5,0,0,9995,8,39,0,511.998046875,24,641,618,512.0,8,222,40,511.998046875,3,208,203,512.0
2024-07-26 06:54:03,6,0,0,9994,8,39,0,511.998046875,28,687,661,512.0,8,256,47,511.998046875,3,219,214,512.0
2024-07-26 06:54:04,7,0,0,9993,8,39,0,511.998046875,31,738,709,512.0,8,290,54,511.998046875,3,230,225,512.0
2024-07-26 06:54:05,8,0,0,9992,8,39,0,511.998046875,35,791,759,512.0,8,324,61,511.998046875,3,241,236,512.0
2024-07-26 06:54:06,9,0,0,9991,8,39,0,511.998046875,38,849,814,512.0,8,358,68,511.998046875,3,252,247,512.0
