timestamp,http_client_request_count_amf,http_server_request_count_amf,cpu_amf_system,cpu_amf_user,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_used_cm_globalP_amf,phoenix_memory_used_cm_packetP_amf,phoenix_memory_used_cm_sessionP_amf,phoenix_memory_used_cm_transactionP_amf
2024-01-18 12:40:55,2045,403,11.5,12.67,360,0,1,9639,180917,400973,355184,67792
2024-01-18 12:40:56,2046,403,11.53,12.68,359,0,1,9640,180981,400221,355184,67792
2024-01-18 12:40:57,2047,403,11.55,12.7,358,0,1,9641,181045,399469,355184,67792
2024-01-18 12:40:58,2048,403,11.57,12.73,357,0,1,9642,181109,398717,355184,67792
2024-01-18 12:40:59,2049,403,11.58,12.76,356,0,1,9643,181173,397965,355184,67792
2024-01-18 12:41:00,2050,403,11.6,12.77,355,0,1,9644,181237,397213,355184,67792
2024-01-18 12:41:00,2050,403,11.6,12.77,355,0,1,9644,181237,397213,355184,67792
2024-01-18 12:41:01,2051,403,11.62,12.8,354,0,1,9645,181301,396461,355184,67792
2024-01-18 12:41:02,2052,403,11.65,12.81,353,0,1,9646,181365,395709,355184,67792
2024-01-18 12:41:03,2053,403,11.67,12.83,352,0,1,9647,181429,394957,355184,67792
2024-01-18 12:41:04,2054,403,11.68,12.86,351,0,1,9648,181493,394205,355184,67792
2024-01-18 12:41:05,2055,403,11.7,12.88,350,0,1,9649,181557,393453,355184,67792
2024-01-18 12:41:06,2056,403,11.72,12.9,349,0,1,9650,181621,392701,355184,67792
2024-01-18 12:41:07,2057,403,11.74,12.92,348,0,1,9651,181685,391949,355184,67792
2024-01-18 12:41:08,2058,403,11.75,12.95,347,0,1,9652,181749,391197,355184,67792
2024-01-18 12:41:09,2059,403,11.79,12.98,346,0,1,9653,181813,390445,355184,67792
2024-01-18 12:41:10,2060,403,11.81,12.99,345,0,1,9654,181877,389693,355184,67792
2024-01-18 12:41:11,2061,403,11.84,13.02,344,0,1,9655,181941,388941,355184,67792
2024-01-18 12:41:12,2062,403,11.86,13.04,343,0,1,9656,182005,388189,355184,67792
2024-01-18 12:41:13,2063,403,11.87,13.07,342,0,1,9657,182069,387437,355184,67792
2024-01-18 12:41:14,2064,403,11.9,13.08,341,0,1,9658,182133,386685,355184,67792
2024-01-18 12:41:15,2065,403,11.92,13.1,340,0,1,9659,182197,385933,355184,67792
2024-01-18 12:41:16,2066,403,11.94,13.13,339,0,1,9660,182261,385181,355184,67792
2024-01-18 12:41:17,2067,403,11.97,13.14,338,0,1,9661,182325,384429,355184,67792
2024-01-18 12:41:18,2068,403,11.99,13.17,337,0,1,9662,182389,383677,355184,67792
2024-01-18 12:41:19,2069,403,12.01,13.19,336,0,1,9663,182453,382925,355184,67792
2024-01-18 12:41:20,2070,403,12.04,13.21,335,0,1,9664,182517,382173,355184,67792
2024-01-18 12:41:21,2071,403,12.05,13.23,334,0,1,9665,182581,381421,355184,67792
2024-01-18 12:41:22,2072,403,12.07,13.26,333,0,1,9666,182645,380669,355184,67792
2024-01-18 12:41:23,2073,403,12.09,13.28,332,0,1,9667,182709,379917,355184,67792
2024-01-18 12:41:24,2074,403,12.12,13.29,331,0,1,9668,182773,379165,355184,67792
2024-01-18 12:41:25,2075,403,12.15,13.3,330,0,1,9669,182837,378413,355184,67792
2024-01-18 12:41:26,2076,403,12.17,13.31,329,0,1,9670,182901,377661,355184,67792
2024-01-18 12:41:27,2077,403,12.2,13.33,328,0,1,9671,182965,376909,355184,67792
2024-01-18 12:41:28,2078,403,12.22,13.35,327,0,1,9672,183029,376157,355184,67792
2024-01-18 12:41:29,2079,403,12.25,13.37,326,0,1,9673,183093,375405,355184,67792
2024-01-18 12:41:30,2080,403,12.27,13.39,325,0,1,9674,183157,374653,355184,67792
2024-01-18 12:41:31,2081,403,12.3,13.41,324,0,1,9675,183221,373901,355184,67792
2024-01-18 12:41:32,2082,403,12.31,13.43,323,0,1,9676,183285,373149,355184,67792
2024-01-18 12:41:33,2083,403,12.33,13.45,322,0,1,9677,183349,372397,355184,67792
2024-01-18 12:41:34,2084,403,12.35,13.47,321,0,1,9678,183413,371645,355184,67792
2024-01-18 12:41:35,2085,403,12.37,13.49,320,0,1,9679,183477,370893,355184,67792
2024-01-18 12:41:36,2086,403,12.38,13.52,319,0,1,9680,183541,370141,355184,67792
2024-01-18 12:41:37,2087,403,12.42,13.54,318,0,1,9681,183605,369389,355184,67792
2024-01-18 12:41:38,2088,403,12.44,13.58,317,0,1,9682,183669,368637,355184,67792
2024-01-18 12:41:39,2089,403,12.46,13.59,316,0,1,9683,183733,367885,355184,67792
2024-01-18 12:41:40,2090,403,12.47,13.61,315,0,1,9684,183797,367133,355184,67792
2024-01-18 12:41:41,2091,403,12.49,13.64,314,0,1,9685,183861,366381,355184,67792
2024-01-18 12:41:42,2092,403,12.51,13.67,313,0,1,9686,183925,365629,355184,67792
2024-01-18 12:41:43,2093,403,12.54,13.69,312,0,1,9687,183989,364877,355184,67792
2024-01-18 12:41:44,2094,403,12.55,13.71,311,0,1,9688,184053,364125,355184,67792
2024-01-18 12:41:45,2095,403,12.57,13.74,310,0,1,9689,184117,363373,355184,67792
2024-01-18 12:41:46,2096,403,12.61,13.76,309,0,1,9690,184181,362621,355184,67792
2024-01-18 12:41:47,2097,403,12.63,13.78,308,0,1,9691,184245,361869,355184,67792
2024-01-18 12:41:48,2098,403,12.64,13.8,307,0,1,9692,184309,361117,355184,67792
2024-01-18 12:41:49,2099,403,12.67,13.83,306,0,1,9693,184373,360365,355184,67792
2024-01-18 12:41:50,2100,403,12.68,13.86,305,0,1,9694,184437,359613,355184,67792
2024-01-18 12:41:51,2101,403,12.71,13.87,304,0,1,9695,184501,358861,355184,67792
2024-01-18 12:41:52,2102,403,12.72,13.89,303,0,1,9696,184565,358109,355184,67792
2024-01-18 12:41:53,2103,403,12.75,13.91,302,0,1,9697,184629,357357,355184,67792
2024-01-18 12:41:54,2104,403,12.76,13.94,301,0,1,9698,184693,356605,355184,67792
2024-01-18 12:41:55,2105,403,12.8,13.96,300,0,1,9699,184757,355853,355184,67792
2024-01-18 12:41:56,2106,403,12.8,13.99,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:41:57,2106,403,12.84,14.01,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:41:58,2106,403,12.85,14.03,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:41:59,2106,403,12.87,14.05,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:00,2106,403,12.89,14.09,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:00,2106,403,12.89,14.09,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:01,2106,403,12.91,14.11,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:02,2106,403,12.93,14.13,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:03,2106,403,12.95,14.15,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:04,2106,403,12.97,14.17,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:05,2106,403,12.99,14.18,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:06,2106,403,13.01,14.21,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:07,2106,403,13.03,14.23,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:08,2106,403,13.07,14.25,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:09,2106,403,13.1,14.27,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:10,2106,403,13.11,14.3,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:11,2106,403,13.13,14.32,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:12,2106,403,13.17,14.33,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:13,2106,403,13.2,14.35,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:14,2106,403,13.25,14.38,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:15,2106,403,13.27,14.41,299,0,1,9700,184821,355100,355184,67792
