timestamp,open5G_bt_subscriber_count_0,open5G_bt_subscriber_count_1,open5G_bt_subscriber_count_2,open5G_bt_subscriber_count_3
2023-12-14 10:28:00.000000000,100,0,0,9900
2023-12-14 10:28:00.099999905,100,0,0,9900
2023-12-14 10:28:00.200000048,100,0,0,9900
2023-12-14 10:28:00.299999952,100,0,0,9900
2023-12-14 10:28:00.400000095,100,0,0,9900
2023-12-14 10:28:00.500000000,100,0,0,9900
2023-12-14 10:28:00.599999905,100,0,0,9900
2023-12-14 10:28:00.700000048,100,0,0,9900
2023-12-14 10:28:00.799999952,100,0,0,9900
2023-12-14 10:28:00.900000095,100,0,0,9900
2023-12-14 10:28:01.000000000,100,0,0,9900
2023-12-14 10:28:01.099999905,100,0,0,9900
2023-12-14 10:28:01.200000048,100,0,0,9900
2023-12-14 10:28:01.299999952,100,0,0,9900
2023-12-14 10:28:01.400000095,100,0,0,9900
2023-12-14 10:28:01.500000000,100,0,0,9900
2023-12-14 10:28:01.599999905,100,0,0,9900
2023-12-14 10:28:01.700000048,100,0,0,9900
2023-12-14 10:28:01.799999952,100,0,0,9900
2023-12-14 10:28:01.900000095,100,0,0,9900
2023-12-14 10:28:02.000000000,100,0,0,9900
2023-12-14 10:28:02.099999905,100,0,0,9900
2023-12-14 10:28:02.200000048,100,0,0,9900
2023-12-14 10:28:02.299999952,100,0,0,9900
2023-12-14 10:28:02.400000095,100,0,0,9900
2023-12-14 10:28:02.500000000,100,0,0,9900
2023-12-14 10:28:02.599999905,100,0,0,9900
2023-12-14 10:28:02.700000048,100,0,0,9900
2023-12-14 10:28:02.799999952,100,0,0,9900
2023-12-14 10:28:02.900000095,100,0,0,9900
2023-12-14 10:28:03.000000000,100,0,0,9900
2023-12-14 10:28:03.099999905,100,0,0,9900
2023-12-14 10:28:03.200000048,100,0,0,9900
2023-12-14 10:28:03.299999952,100,0,0,9900
2023-12-14 10:28:03.400000095,100,0,0,9900
2023-12-14 10:28:03.500000000,100,0,0,9900
2023-12-14 10:28:03.599999905,100,0,0,9900
2023-12-14 10:28:03.700000048,100,0,0,9900
2023-12-14 10:28:03.799999952,100,0,0,9900
2023-12-14 10:28:03.900000095,100,0,0,9900
2023-12-14 10:28:04.000000000,100,0,0,9900
2023-12-14 10:28:04.099999905,100,0,0,9900
2023-12-14 10:28:04.200000048,100,0,0,9900
2023-12-14 10:28:04.299999952,100,0,0,9900
2023-12-14 10:28:04.400000095,100,0,0,9900
2023-12-14 10:28:04.500000000,100,0,0,9900
2023-12-14 10:28:04.599999905,100,0,0,9900
2023-12-14 10:28:04.700000048,100,0,0,9900
2023-12-14 10:28:04.799999952,100,0,0,9900
2023-12-14 10:28:04.900000095,100,0,0,9900
2023-12-14 10:28:05.000000000,100,0,0,9900
2023-12-14 10:28:05.099999905,100,0,0,9900
2023-12-14 10:28:05.200000048,100,0,0,9900
2023-12-14 10:28:05.299999952,100,0,0,9900
2023-12-14 10:28:05.400000095,100,0,0,9900
2023-12-14 10:28:05.500000000,100,0,0,9900
2023-12-14 10:28:05.599999905,100,0,0,9900
2023-12-14 10:28:05.700000048,100,0,0,9900
2023-12-14 10:28:05.799999952,100,0,0,9900
2023-12-14 10:28:05.900000095,100,0,0,9900
2023-12-14 10:28:06.000000000,100,0,0,9900
2023-12-14 10:28:06.099999905,100,0,0,9900
2023-12-14 10:28:06.200000048,100,0,0,9900
2023-12-14 10:28:06.299999952,100,0,0,9900
2023-12-14 10:28:06.400000095,100,0,0,9900
2023-12-14 10:28:06.500000000,100,0,0,9900
2023-12-14 10:28:06.599999905,100,0,0,9900
2023-12-14 10:28:06.700000048,100,0,0,9900
2023-12-14 10:28:06.799999952,100,0,0,9900
2023-12-14 10:28:06.900000095,100,0,0,9900
2023-12-14 10:28:07.000000000,100,0,0,9900
2023-12-14 10:28:07.099999905,100,0,0,9900
2023-12-14 10:28:07.200000048,100,0,0,9900
2023-12-14 10:28:07.299999952,100,0,0,9900
2023-12-14 10:28:07.400000095,100,0,0,9900
2023-12-14 10:28:07.500000000,100,0,0,9900
2023-12-14 10:28:07.599999905,100,0,0,9900
2023-12-14 10:28:07.700000048,100,0,0,9900
2023-12-14 10:28:07.799999952,100,0,0,9900
2023-12-14 10:28:07.900000095,100,0,0,9900
2023-12-14 10:28:08.000000000,100,0,0,9900
2023-12-14 10:28:08.099999905,100,0,0,9900
2023-12-14 10:28:08.200000048,100,0,0,9900
2023-12-14 10:28:08.299999952,100,0,0,9900
2023-12-14 10:28:08.400000095,100,0,0,9900
2023-12-14 10:28:08.500000000,100,0,0,9900
2023-12-14 10:28:08.599999905,100,0,0,9900
2023-12-14 10:28:08.700000048,100,0,0,9900
2023-12-14 10:28:08.799999952,100,0,0,9900
2023-12-14 10:28:08.900000095,100,0,0,9900
2023-12-14 10:28:09.000000000,100,0,0,9900
2023-12-14 10:28:09.099999905,100,0,0,9900
2023-12-14 10:28:09.200000048,100,0,0,9900
2023-12-14 10:28:09.299999952,100,0,0,9900
2023-12-14 10:28:09.400000095,100,0,0,9900
2023-12-14 10:28:09.500000000,100,0,0,9900
2023-12-14 10:28:09.599999905,100,0,0,9900
2023-12-14 10:28:09.700000048,100,0,0,9900
2023-12-14 10:28:09.799999952,100,0,0,9900
2023-12-14 10:28:09.900000095,100,0,0,9900
2023-12-14 10:28:10.000000000,100,0,0,9900
2023-12-14 10:28:10.099999905,100,0,0,9900
2023-12-14 10:28:10.200000048,100,0,0,9900
2023-12-14 10:28:10.299999952,100,0,0,9900
2023-12-14 10:28:10.400000095,100,0,0,9900
2023-12-14 10:28:10.500000000,100,0,0,9900
2023-12-14 10:28:10.599999905,100,0,0,9900
2023-12-14 10:28:10.700000048,100,0,0,9900
2023-12-14 10:28:10.799999952,100,0,0,9900
2023-12-14 10:28:10.900000095,100,0,0,9900
2023-12-14 10:28:11.000000000,100,0,0,9900
2023-12-14 10:28:11.099999905,100,0,0,9900
2023-12-14 10:28:11.200000048,100,0,0,9900
2023-12-14 10:28:11.299999952,100,0,0,9900
2023-12-14 10:28:11.400000095,100,0,0,9900
2023-12-14 10:28:11.500000000,100,0,0,9900
2023-12-14 10:28:11.599999905,100,0,0,9900
2023-12-14 10:28:11.700000048,100,0,0,9900
2023-12-14 10:28:11.799999952,100,0,0,9900
2023-12-14 10:28:11.900000095,100,0,0,9900
2023-12-14 10:28:12.000000000,100,0,0,9900
2023-12-14 10:28:12.099999905,100,0,0,9900
2023-12-14 10:28:12.200000048,100,0,0,9900
2023-12-14 10:28:12.299999952,100,0,0,9900
2023-12-14 10:28:12.400000095,100,0,0,9900
2023-12-14 10:28:12.500000000,100,0,0,9900
2023-12-14 10:28:12.599999905,100,0,0,9900
2023-12-14 10:28:12.700000048,100,0,0,9900
2023-12-14 10:28:12.799999952,100,0,0,9900
2023-12-14 10:28:12.900000095,100,0,0,9900
2023-12-14 10:28:13.000000000,100,0,0,9900
2023-12-14 10:28:13.099999905,100,0,0,9900
2023-12-14 10:28:13.200000048,100,0,0,9900
2023-12-14 10:28:13.299999952,100,0,0,9900
2023-12-14 10:28:13.400000095,100,0,0,9900
2023-12-14 10:28:13.500000000,100,0,0,9900
2023-12-14 10:28:13.599999905,100,0,0,9900
2023-12-14 10:28:13.700000048,100,0,0,9900
2023-12-14 10:28:13.799999952,100,0,0,9900
2023-12-14 10:28:13.900000095,100,0,0,9900
2023-12-14 10:28:14.000000000,100,0,0,9900
2023-12-14 10:28:14.099999905,100,0,0,9900
2023-12-14 10:28:14.200000048,100,0,0,9900
2023-12-14 10:28:14.299999952,100,0,0,9900
2023-12-14 10:28:14.400000095,100,0,0,9900
2023-12-14 10:28:14.500000000,100,0,0,9900
2023-12-14 10:28:14.599999905,100,0,0,9900
