timestamp,http_client_request_count_0,http_client_request_count_1,http_client_request_count_2,http_client_request_count_3,http_client_request_count_4,http_client_response_count_0,http_client_response_count_1,http_client_response_count_2,http_client_response_count_3,http_client_response_count_4,open5G_bt_subscriber_count_0,open5G_bt_subscriber_count_1,open5G_bt_subscriber_count_2,open5G_bt_subscriber_count_3
2023-12-14 10:27:00.000000000,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.009999990,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.019999981,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.029999971,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.039999962,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.049999952,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.059999943,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.069999933,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.079999924,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.089999914,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.099999905,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.109999895,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.119999886,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.130000114,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.140000105,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.150000095,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.160000086,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.170000076,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.180000067,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.190000057,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.200000048,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.210000038,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.220000029,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.230000019,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.240000010,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.250000000,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.259999990,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.269999981,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.279999971,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.289999962,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.299999952,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.309999943,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.319999933,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.329999924,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.339999914,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.349999905,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.359999895,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.369999886,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.380000114,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.390000105,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.400000095,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.410000086,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.420000076,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.430000067,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.440000057,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.450000048,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.460000038,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.470000029,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.480000019,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.490000010,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.500000000,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.509999989,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.519999981,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.529999970,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.539999962,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.549999952,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.559999943,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.569999933,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.579999924,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.589999914,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.599999905,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.609999895,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.619999886,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.630000114,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.640000105,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.650000095,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.660000086,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.670000076,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.680000067,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.690000057,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.700000048,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.710000038,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.720000029,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.730000019,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.740000010,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.750000000,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.759999990,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.769999981,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.779999971,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.789999962,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.799999952,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.809999943,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.819999933,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.829999924,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.839999914,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.849999905,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.859999895,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.869999886,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.880000114,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.890000105,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
2023-12-14 10:27:00.900000095,507,203,1,6,207,507,203,1,6,207,100,0,0,9900
