timestamp,http_client_request_count_amf,cpu_amf_system,cpu_amf_user,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_global_used_amf,phoenix_memory_packet_used_amf,phoenix_memory_session_used_amf,phoenix_memory_transaction_used_amf
2023-12-26 10:01:11,52,0.019999999999999997,0.030000000000000002,9,0,0,9991,40853,9666,13059,2104
2023-12-26 10:01:12,57,0.03,0.030000000000000002,10,0,0,9990,41205,10741,13934,2272
2023-12-26 10:01:13,62,0.03,0.030000000000000002,11,0,0,9989,41557,11816,14809,2440
2023-12-26 10:01:14,67,0.03,0.039999999999999994,12,0,0,9988,41909,12891,15684,2608
2023-12-26 10:01:15,72,0.03,0.039999999999999994,13,0,0,9987,42261,13966,16559,2776
2023-12-26 10:01:16,77,0.04,0.039999999999999994,14,0,0,9986,42613,15041,17434,2944
2023-12-26 10:01:17,82,0.04,0.05,15,0,0,9985,42965,16116,18309,3112
2023-12-26 10:01:18,87,0.04,0.05,16,0,0,9984,43317,17191,19184,3280
2023-12-26 10:01:19,92,0.049999999999999996,0.06,17,0,0,9983,43669,18266,20059,3448
2023-12-26 10:01:20,97,0.060000000000000005,0.06,18,0,0,9982,44021,19341,20934,3616
2023-12-26 10:01:21,102,0.060000000000000005,0.06999999999999999,19,0,0,9981,44373,20416,21809,3784
2023-12-26 10:01:22,107,0.060000000000000005,0.08,20,0,0,9980,44725,21491,22684,3952
2023-12-26 10:01:23,112,0.07,0.09,21,0,0,9979,45077,22566,23559,4120
2023-12-26 10:01:24,117,0.07,0.09,22,0,0,9978,45429,23641,24434,4288
2023-12-26 10:01:25,122,0.08,0.09999999999999999,23,0,0,9977,45781,24716,25309,4456
2023-12-26 10:01:26,127,0.08,0.11,24,0,0,9976,46133,25791,26184,4624
2023-12-26 10:01:27,132,0.08,0.12000000000000001,25,0,0,9975,46485,26866,27059,4792
2023-12-26 10:01:28,137,0.09000000000000001,0.12000000000000001,26,0,0,9974,46837,27941,27934,4960
2023-12-26 10:01:29,142,0.1,0.13,27,0,0,9973,47189,29016,28809,5128
2023-12-26 10:01:30,147,0.1,0.14,28,0,0,9972,47541,30091,29684,5296
2023-12-26 10:01:31,152,0.1,0.15000000000000002,29,0,0,9971,47893,31166,30559,5464
2023-12-26 10:01:32,157,0.12000000000000001,0.15000000000000002,30,0,0,9970,48245,32241,31434,5632
2023-12-26 10:01:33,162,0.12000000000000001,0.16,31,0,0,9969,48597,33316,32309,5800
2023-12-26 10:01:34,167,0.12000000000000001,0.18000000000000002,32,0,0,9968,48949,34391,33184,5968
2023-12-26 10:01:35,172,0.12000000000000001,0.2,33,0,0,9967,49301,35466,34059,6136
2023-12-26 10:01:36,177,0.13,0.21000000000000002,34,0,0,9966,49653,36541,34934,6304
2023-12-26 10:01:37,182,0.13999999999999999,0.21000000000000002,35,0,0,9965,50005,37616,35809,6472
2023-12-26 10:01:38,187,0.15,0.22,36,0,0,9964,50357,38691,36684,6640
2023-12-26 10:01:39,192,0.16,0.23,37,0,0,9963,50709,39766,37559,6808
2023-12-26 10:01:40,197,0.16,0.23,38,0,0,9962,51061,40841,38434,6976
2023-12-26 10:01:41,202,0.16999999999999998,0.24000000000000002,39,0,0,9961,51413,41916,39309,7144
2023-12-26 10:01:42,207,0.18,0.26,40,0,0,9960,51765,42991,40184,7312
2023-12-26 10:01:43,212,0.19,0.26,41,0,0,9959,52117,44066,41059,7480
2023-12-26 10:01:44,217,0.19999999999999998,0.27999999999999997,42,0,0,9958,52469,45141,41934,7648
