timestamp,subscriber_count_Connected_x,subscriber_count_Connected_y,subscriber_count_Connected_x,subscriber_count_Connected_y,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,total_allocated_memory_globalP_smf,total_allocated_memory_packetP_smf,total_allocated_memory_sessionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
2024-07-09 09:04:21,0,0,0,10000,8,12,5,2,31.998046875,32.0,31.998046875,32.0,35,18,47,5
2024-07-09 09:04:22,1,0,0,9999,8,12,8,2,31.998046875,32.0,31.998046875,32.0,35,21,74,5
2024-07-09 09:04:23,2,0,0,9998,8,15,8,3,31.998046875,32.0,31.998046875,32.0,35,24,101,5
2024-07-09 09:04:24,3,0,0,9997,8,19,8,3,31.998046875,32.0,31.998046875,32.0,35,27,128,5
2024-07-09 09:04:25,4,0,0,9996,8,23,8,3,31.998046875,32.0,31.998046875,32.0,35,30,155,5
2024-07-09 09:04:26,5,0,0,9995,8,26,8,3,31.998046875,32.0,31.998046875,32.0,35,33,182,5
2024-07-09 09:04:27,6,0,0,9994,8,30,8,3,31.998046875,32.0,31.998046875,32.0,35,36,209,5
2024-07-09 09:04:28,7,0,0,9993,8,33,8,3,31.998046875,32.0,31.998046875,32.0,35,39,236,5
2024-07-09 09:04:29,8,0,0,9992,8,37,8,3,31.998046875,32.0,31.998046875,32.0,35,42,263,5
2024-07-09 09:04:30,9,0,0,9991,8,41,8,3,31.998046875,32.0,31.998046875,32.0,35,45,290,5
2024-07-09 09:04:31,10,0,0,9990,8,44,8,3,31.998046875,32.0,31.998046875,32.0,35,48,317,5
2024-07-09 09:04:32,11,0,0,9989,8,48,8,3,31.998046875,32.0,31.998046875,32.0,35,51,344,5
2024-07-09 09:04:33,12,0,0,9988,8,51,8,3,31.998046875,32.0,31.998046875,32.0,36,54,371,5
2024-07-09 09:04:34,13,0,0,9987,8,55,8,3,31.998046875,32.0,31.998046875,32.0,36,57,398,5
2024-07-09 09:04:35,14,0,0,9986,8,58,8,3,31.998046875,32.0,31.998046875,32.0,36,60,425,5
2024-07-09 09:04:36,15,0,0,9985,8,62,8,3,31.998046875,32.0,31.998046875,32.0,36,63,452,5
2024-07-09 09:04:37,16,0,0,9984,8,66,8,3,31.998046875,32.0,31.998046875,32.0,36,66,479,5
2024-07-09 09:04:38,17,0,0,9983,8,70,8,3,31.998046875,32.0,31.998046875,32.0,36,68,507,5
2024-07-09 09:04:39,18,0,0,9982,8,73,8,3,31.998046875,32.0,31.998046875,32.0,36,72,533,5
2024-07-09 09:04:40,19,0,0,9981,8,77,8,3,31.998046875,32.0,31.998046875,32.0,36,75,560,5
2024-07-09 09:04:41,20,0,0,9980,8,80,8,3,31.998046875,32.0,31.998046875,32.0,36,78,587,5
2024-07-09 09:04:42,21,0,0,9979,8,84,8,3,31.998046875,32.0,31.998046875,32.0,36,79,613,5
2024-07-09 09:04:43,22,0,0,9978,8,87,8,3,31.998046875,32.0,31.998046875,32.0,36,82,641,5
2024-07-09 09:04:44,23,0,0,9977,8,90,8,3,31.998046875,32.0,31.998046875,32.0,36,84,668,5
2024-07-09 09:04:45,24,0,0,9976,8,95,8,3,31.998046875,32.0,31.998046875,32.0,36,86,695,5
2024-07-09 09:04:46,25,0,0,9975,8,98,8,3,31.998046875,32.0,31.998046875,32.0,36,88,722,5
2024-07-09 09:04:47,26,0,0,9974,8,101,8,3,31.998046875,32.0,31.998046875,32.0,36,90,749,5
2024-07-09 09:04:48,27,0,0,9973,8,105,8,3,31.998046875,32.0,31.998046875,32.0,36,92,776,5
2024-07-09 09:04:49,28,0,0,9972,8,108,8,3,31.998046875,32.0,31.998046875,32.0,37,94,803,5
2024-07-09 09:04:50,29,0,0,9971,8,111,8,3,31.998046875,32.0,31.998046875,32.0,37,96,830,5
2024-07-09 09:04:51,30,0,0,9970,8,115,8,3,31.998046875,32.0,31.998046875,32.0,37,98,857,5
2024-07-09 09:04:52,31,0,0,9969,8,118,8,3,31.998046875,32.0,31.998046875,32.0,37,101,884,5
2024-07-09 09:04:53,32,0,0,9968,8,122,8,3,31.998046875,32.0,31.998046875,32.0,37,104,911,5
