,,,,,globalP,globalP,globalP,globalP,globalP,globalP,packetP,packetP,packetP,packetP,packetP,packetP,sessionP,sessionP,sessionP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_amf,phoenix_memory_cm_used_chunk_count_cm_globalP_amf,phoenix_memory_pool_create_count_cm_globalP_amf,phoenix_memory_pool_destroy_count_cm_globalP_amf,total_allocated_memory_globalP_amf,chunk_create_count_minus_destroy_count_cm_globalP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_amf,phoenix_memory_cm_used_chunk_count_cm_packetP_amf,phoenix_memory_pool_create_count_cm_packetP_amf,phoenix_memory_pool_destroy_count_cm_packetP_amf,total_allocated_memory_packetP_amf,chunk_create_count_minus_destroy_count_cm_packetP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_amf,phoenix_memory_cm_used_chunk_count_cm_sessionP_amf,phoenix_memory_pool_create_count_cm_sessionP_amf,phoenix_memory_pool_destroy_count_cm_sessionP_amf,total_allocated_memory_sessionP_amf,chunk_create_count_minus_destroy_count_cm_sessionP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_amf,phoenix_memory_cm_used_chunk_count_cm_transactionP_amf,phoenix_memory_pool_create_count_cm_transactionP_amf,phoenix_memory_pool_destroy_count_cm_transactionP_amf,total_allocated_memory_transactionP_amf,chunk_create_count_minus_destroy_count_cm_transactionP_amf
timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-25 11:23:37,0,0,0,10000,6,32,32,0,32.0,32,17,6,401,394,32.0,7,2,18,20,2,32.0,18,3,8,52,44,32.0,8
2024-06-25 11:23:38,2,0,0,9998,6,32,32,0,32.0,32,17,15,446,432,32.0,14,2,19,22,3,32.0,19,4,9,91,82,32.0,9
2024-06-25 11:23:39,7,0,0,9993,6,33,33,0,32.0,33,20,62,606,557,32.0,49,2,24,32,8,32.0,24,4,14,282,268,32.0,14
2024-06-25 11:23:40,12,0,0,9988,6,34,34,0,32.0,34,38,108,784,700,32.0,84,2,29,42,13,32.0,29,4,19,473,454,32.0,19
2024-06-25 11:23:41,17,0,0,9983,6,35,35,0,32.0,35,55,155,979,860,32.0,119,2,34,52,18,32.0,34,4,24,664,640,32.0,24
2024-06-25 11:23:42,22,0,0,9978,6,36,36,0,32.0,36,72,202,1191,1037,32.0,154,2,39,62,23,32.0,39,4,29,855,826,32.0,29
2024-06-25 11:23:43,27,0,0,9973,6,36,36,0,32.0,36,90,248,1421,1232,32.0,189,2,44,72,28,32.0,44,4,34,1046,1012,32.0,34
2024-06-25 11:23:44,32,0,0,9968,6,37,37,0,32.0,37,107,295,1668,1444,32.0,224,2,49,82,33,32.0,49,4,39,1237,1198,32.0,39
