timestamp,subscriber_count_Connected,phoenix_memory_chunk_count_cm_globalP_amf,phoenix_memory_chunk_count_cm_packetP_amf,phoenix_memory_chunk_count_cm_sessionP_amf,phoenix_memory_chunk_count_cm_transactionP_amf,phoenix_memory_chunksize_cm_globalP_amf,phoenix_memory_chunksize_cm_packetP_amf,phoenix_memory_chunksize_cm_sessionP_amf,phoenix_memory_chunksize_cm_transactionP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_amf,phoenix_memory_pool_create_count_cm_globalP_amf,phoenix_memory_pool_create_count_cm_packetP_amf,phoenix_memory_pool_create_count_cm_sessionP_amf,phoenix_memory_pool_create_count_cm_transactionP_amf,phoenix_memory_pool_destroy_count_cm_globalP_amf,phoenix_memory_pool_destroy_count_cm_packetP_amf,phoenix_memory_pool_destroy_count_cm_sessionP_amf,phoenix_memory_pool_destroy_count_cm_transactionP_amf
2024-07-25 08:47:27,150,131072,131072,131072,131072,2048,2048,2048,2048,39,609,2,4,70,105126,433,8194,0,103969,262,8036
2024-07-25 08:47:28,153,131072,131072,131072,131072,2048,2048,2048,2048,39,609,2,4,70,105791,437,8271,0,104620,264,8111
2024-07-25 08:47:29,158,131072,131072,131072,131072,2048,2048,2048,2048,40,616,2,4,71,106547,447,8462,0,105341,269,8297
2024-07-25 08:47:30,163,131072,131072,131072,131072,2048,2048,2048,2048,41,634,2,4,72,107321,457,8653,0,106080,274,8483
2024-07-25 08:47:31,168,131072,131072,131072,131072,2048,2048,2048,2048,42,651,2,4,73,108112,467,8844,0,106836,279,8669
2024-07-25 08:47:32,173,131072,131072,131072,131072,2048,2048,2048,2048,43,669,2,4,74,108921,477,9035,0,107610,284,8855
2024-07-25 08:47:33,178,131072,131072,131072,131072,2048,2048,2048,2048,43,686,2,4,74,109747,487,9226,0,108401,289,9041
2024-07-25 08:47:34,183,131072,131072,131072,131072,2048,2048,2048,2048,44,704,2,4,75,110591,497,9417,0,109210,294,9227
2024-07-25 08:47:35,188,131072,131072,131072,131072,2048,2048,2048,2048,45,721,2,4,76,111452,507,9608,0,110036,299,9413
2024-07-25 08:47:36,193,131072,131072,131072,131072,2048,2048,2048,2048,46,739,2,4,77,112331,517,9799,0,110880,304,9599
2024-07-25 08:47:37,198,131072,131072,131072,131072,2048,2048,2048,2048,47,757,2,4,78,113228,527,9990,0,111742,309,9785
