timestamp,subscriber_count_Connected_x,subscriber_count_Connected_y,subscriber_count_Connected_x,subscriber_count_Connected_y,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_upf1,total_allocated_memory_globalP_upf1,total_allocated_memory_packetP_upf1,total_allocated_memory_sessionP_upf1,total_allocated_memory_transactionP_upf1,chunk_create_count_minus_destroy_count_cm_globalP_upf1,chunk_create_count_minus_destroy_count_cm_packetP_upf1,chunk_create_count_minus_destroy_count_cm_sessionP_upf1,chunk_create_count_minus_destroy_count_cm_transactionP_upf1
2024-07-09 09:05:12,51,0,0,9949,19,215,12,2,32.0,32.0,32.0,32.0,39,112,1085,4
2024-07-09 09:05:13,52,0,0,9948,19,219,12,2,32.0,32.0,32.0,32.0,39,114,1106,4
2024-07-09 09:05:14,53,0,0,9947,19,223,12,2,32.0,32.0,32.0,32.0,39,116,1127,4
2024-07-09 09:05:15,54,0,0,9946,19,227,12,2,32.0,32.0,32.0,32.0,39,118,1148,4
2024-07-09 09:05:16,55,0,0,9945,19,231,12,2,32.0,32.0,32.0,32.0,39,120,1169,4
2024-07-09 09:05:17,56,0,0,9944,19,235,12,2,32.0,32.0,32.0,32.0,39,122,1190,4
2024-07-09 09:05:18,57,0,0,9943,19,239,12,2,32.0,32.0,32.0,32.0,39,124,1211,4
2024-07-09 09:05:19,58,0,0,9942,19,243,12,2,32.0,32.0,32.0,32.0,39,126,1232,4
2024-07-09 09:05:20,59,0,0,9941,19,247,12,2,32.0,32.0,32.0,32.0,39,128,1253,4
2024-07-09 09:05:21,60,0,0,9940,19,251,12,2,32.0,32.0,32.0,32.0,39,130,1274,4
2024-07-09 09:05:22,61,0,0,9939,19,255,12,2,32.0,32.0,32.0,32.0,39,132,1295,4
2024-07-09 09:05:23,62,0,0,9938,19,259,12,2,32.0,32.0,32.0,32.0,39,134,1316,4
2024-07-09 09:05:24,63,0,0,9937,19,263,12,2,32.0,32.0,32.0,32.0,39,136,1337,4
2024-07-09 09:05:25,64,0,0,9936,19,267,12,2,32.0,32.0,32.0,32.0,39,138,1358,4
2024-07-09 09:05:26,65,0,0,9935,19,271,12,2,32.0,32.0,32.0,32.0,39,140,1379,4
2024-07-09 09:05:27,66,0,0,9934,19,275,12,2,32.0,32.0,32.0,32.0,39,142,1400,4
2024-07-09 09:05:28,67,0,0,9933,19,279,12,2,32.0,32.0,32.0,32.0,39,144,1421,4
2024-07-09 09:05:29,68,0,0,9932,19,283,12,2,32.0,32.0,32.0,32.0,39,146,1442,4
2024-07-09 09:05:30,69,0,0,9931,19,287,12,2,32.0,32.0,32.0,32.0,39,148,1463,4
2024-07-09 09:05:31,70,0,0,9930,19,291,12,2,32.0,32.0,32.0,32.0,39,150,1484,4
2024-07-09 09:05:32,71,0,0,9929,19,295,12,2,32.0,32.0,32.0,32.0,39,152,1505,4
2024-07-09 09:05:33,72,0,0,9928,19,299,12,2,32.0,32.0,32.0,32.0,39,154,1526,4
2024-07-09 09:05:34,73,0,0,9927,19,303,12,2,32.0,32.0,32.0,32.0,39,156,1547,4
2024-07-09 09:05:35,74,0,0,9926,19,307,12,2,32.0,32.0,32.0,32.0,39,158,1568,4
2024-07-09 09:05:36,75,0,0,9925,19,311,12,2,32.0,32.0,32.0,32.0,39,160,1589,4
2024-07-09 09:05:37,76,0,0,9924,19,315,12,2,32.0,32.0,32.0,32.0,39,162,1610,4
2024-07-09 09:05:38,77,0,0,9923,19,319,12,2,32.0,32.0,32.0,32.0,39,164,1631,4
2024-07-09 09:05:39,78,0,0,9922,19,323,12,2,32.0,32.0,32.0,32.0,39,166,1652,4
2024-07-09 09:05:40,79,0,0,9921,19,327,12,2,32.0,32.0,32.0,32.0,39,168,1673,4
2024-07-09 09:05:41,80,0,0,9920,19,331,12,2,32.0,32.0,32.0,32.0,39,170,1694,4
2024-07-09 09:05:42,81,0,0,9919,19,335,12,2,32.0,32.0,32.0,32.0,39,172,1715,4
2024-07-09 09:05:43,82,0,0,9918,19,339,12,2,32.0,32.0,32.0,32.0,39,174,1736,4
2024-07-09 09:05:44,83,0,0,9917,19,343,12,2,32.0,32.0,32.0,32.0,39,176,1757,4
2024-07-09 09:05:45,84,0,0,9916,19,347,12,2,32.0,32.0,32.0,32.0,39,178,1778,4
2024-07-09 09:05:46,85,0,0,9915,19,351,12,2,32.0,32.0,32.0,32.0,39,180,1799,4
2024-07-09 09:05:47,86,0,0,9914,19,355,12,2,32.0,32.0,32.0,32.0,39,182,1820,4
2024-07-09 09:05:48,87,0,0,9913,19,359,12,2,32.0,32.0,32.0,32.0,39,184,1841,4
2024-07-09 09:05:49,88,0,0,9912,19,363,12,2,32.0,32.0,32.0,32.0,39,186,1862,4
2024-07-09 09:05:50,89,0,0,9911,19,367,12,2,32.0,32.0,32.0,32.0,39,188,1883,4
2024-07-09 09:05:51,90,0,0,9910,19,371,12,2,32.0,32.0,32.0,32.0,39,190,1904,4
2024-07-09 09:05:52,91,0,0,9909,19,375,12,2,32.0,32.0,32.0,32.0,39,192,1925,4
2024-07-09 09:05:53,92,0,0,9908,19,379,12,2,32.0,32.0,32.0,32.0,39,194,1946,4
2024-07-09 09:05:54,93,0,0,9907,19,383,12,2,32.0,32.0,32.0,32.0,39,196,1967,4
2024-07-09 09:05:55,94,0,0,9906,19,387,12,2,32.0,32.0,32.0,32.0,39,198,1988,4
2024-07-09 09:05:56,95,0,0,9905,19,391,12,2,32.0,32.0,32.0,32.0,39,200,2009,4
2024-07-09 09:05:57,96,0,0,9904,19,395,12,2,32.0,32.0,32.0,32.0,39,202,2030,4
2024-07-09 09:05:58,97,0,0,9903,19,399,12,2,32.0,32.0,32.0,32.0,39,204,2051,4
2024-07-09 09:05:59,98,0,0,9902,19,403,12,2,32.0,32.0,32.0,32.0,39,206,2072,4
2024-07-09 09:06:00,99,0,0,9901,19,407,12,2,32.0,32.0,32.0,32.0,39,208,2093,4
2024-07-09 09:06:01,100,0,0,9900,19,411,12,2,32.0,32.0,32.0,32.0,39,210,2114,4
2024-07-09 09:06:02,99,1,0,9900,19,415,12,2,32.0,32.0,32.0,32.0,39,210,2114,4
2024-07-09 09:06:03,100,0,0,9900,19,415,12,2,32.0,32.0,32.0,32.0,39,210,2114,4
