timestamp,subscriber_count_Connected,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_amf,total_allocated_memory_globalP_amf,total_allocated_memory_packetP_amf,total_allocated_memory_sessionP_amf,total_allocated_memory_transactionP_amf,chunk_create_count_minus_destroy_count_cm_globalP_amf,chunk_create_count_minus_destroy_count_cm_packetP_amf,chunk_create_count_minus_destroy_count_cm_sessionP_amf,chunk_create_count_minus_destroy_count_cm_transactionP_amf
2024-07-18 08:09:53,0,6,18,2,3,128.0,256.0,256.0,64.0,36,8,18,8
2024-07-18 08:09:54,0,6,18,2,3,128.0,256.0,256.0,64.0,36,8,18,8
2024-07-18 08:09:55,0,6,18,2,3,128.0,256.0,256.0,64.0,36,8,18,8
2024-07-18 08:09:56,0,6,18,2,3,128.0,256.0,256.0,64.0,36,8,18,8
2024-07-18 08:09:57,0,6,18,2,3,128.0,256.0,256.0,64.0,36,8,18,8
2024-07-18 08:09:58,0,6,18,2,3,128.0,256.0,256.0,64.0,36,8,18,8
2024-07-18 08:10:00,0,6,22,2,3,128.0,256.0,256.0,64.0,36,22,26,40
2024-07-18 08:10:01,0,6,34,2,3,128.0,256.0,256.0,64.0,36,58,50,143
2024-07-18 08:10:02,0,6,84,2,3,128.0,256.0,256.0,64.0,36,73,60,130
2024-07-18 08:10:03,19,6,88,2,5,128.0,256.0,256.0,64.0,36,190,44,54
2024-07-18 08:10:04,32,6,102,2,5,128.0,256.0,256.0,64.0,36,225,49,39
2024-07-18 08:10:05,37,6,110,2,5,128.0,256.0,256.0,64.0,36,260,54,44
2024-07-18 08:10:06,42,6,125,2,5,128.0,256.0,256.0,64.0,36,295,59,49
2024-07-18 08:10:07,47,6,140,2,5,128.0,256.0,256.0,64.0,36,330,64,54
2024-07-18 08:10:08,52,6,155,2,5,128.0,256.0,256.0,64.0,36,365,69,59
2024-07-18 08:10:09,57,6,170,2,5,128.0,256.0,256.0,64.0,36,400,74,64
2024-07-18 08:10:10,62,6,184,2,5,128.0,256.0,256.0,64.0,36,435,79,69
2024-07-18 08:10:11,67,6,199,2,5,128.0,256.0,256.0,64.0,36,470,84,74
2024-07-18 08:10:12,72,6,214,2,5,128.0,256.0,256.0,64.0,36,505,89,79
2024-07-18 08:10:13,77,6,229,2,5,128.0,256.0,256.0,64.0,36,540,94,84
2024-07-18 08:10:14,82,6,244,2,5,128.0,256.0,256.0,64.0,36,575,99,89
2024-07-18 08:10:15,87,6,259,2,5,128.0,256.0,256.0,64.0,36,610,104,94
2024-07-18 08:10:16,92,6,274,2,5,128.0,256.0,256.0,64.0,36,645,109,99
2024-07-18 08:10:17,97,6,289,2,5,128.0,256.0,256.0,64.0,36,680,114,104
2024-07-18 08:10:18,102,6,304,2,5,128.0,256.0,256.0,64.0,36,715,119,109
2024-07-18 08:10:19,107,6,319,2,5,128.0,256.0,256.0,64.0,36,750,124,114
2024-07-18 08:10:20,112,6,334,2,5,128.0,256.0,256.0,64.0,36,785,129,119
2024-07-18 08:10:21,117,6,348,2,5,128.0,256.0,256.0,64.0,36,820,134,124
2024-07-18 08:10:22,122,6,363,2,5,128.0,256.0,256.0,64.0,36,855,139,129
2024-07-18 08:10:23,127,6,378,2,5,128.0,256.0,256.0,64.0,36,890,144,134
2024-07-18 08:10:24,132,6,393,2,5,128.0,256.0,256.0,64.0,36,925,149,139
2024-07-18 08:10:25,137,6,408,2,5,128.0,256.0,256.0,64.0,36,960,154,144
2024-07-18 08:10:26,142,6,423,2,5,128.0,256.0,256.0,64.0,36,995,159,149
2024-07-18 08:10:27,147,6,438,2,5,128.0,256.0,256.0,64.0,36,1030,164,154
2024-07-18 08:10:28,152,6,453,2,5,128.0,256.0,256.0,64.0,36,1065,169,159
2024-07-18 08:10:29,157,6,468,2,5,128.0,256.0,256.0,64.0,36,1100,174,164
2024-07-18 08:10:30,162,6,483,2,5,128.0,256.0,256.0,64.0,36,1135,179,169
2024-07-18 08:10:31,167,6,498,2,5,128.0,256.0,256.0,64.0,36,1170,184,174
2024-07-18 08:10:32,172,6,513,2,5,128.0,256.0,256.0,64.0,36,1205,189,179
2024-07-18 08:10:33,177,6,527,2,5,128.0,256.0,256.0,64.0,36,1240,194,184
2024-07-18 08:10:34,182,6,542,2,5,128.0,256.0,256.0,64.0,36,1275,199,189
2024-07-18 08:10:35,187,6,557,2,5,128.0,256.0,256.0,64.0,36,1310,204,194
2024-07-18 08:10:36,192,6,572,2,5,128.0,256.0,256.0,64.0,36,1345,209,199
2024-07-18 08:10:37,197,6,587,2,5,128.0,256.0,256.0,64.0,36,1380,214,204
2024-07-18 08:10:38,202,6,602,2,5,128.0,256.0,256.0,64.0,36,1415,219,209
2024-07-18 08:10:39,207,6,617,2,5,128.0,256.0,256.0,64.0,36,1450,224,214
2024-07-18 08:10:40,212,6,632,2,5,128.0,256.0,256.0,64.0,36,1485,229,219
2024-07-18 08:10:41,217,6,647,2,5,128.0,256.0,256.0,64.0,36,1520,234,224
2024-07-18 08:10:42,222,6,662,2,5,128.0,256.0,256.0,64.0,36,1555,239,229
2024-07-18 08:10:43,227,6,677,2,5,128.0,256.0,256.0,64.0,36,1590,244,234
2024-07-18 08:10:44,232,6,691,2,5,128.0,256.0,256.0,64.0,36,1625,249,239
2024-07-18 08:10:45,237,6,706,2,5,128.0,256.0,256.0,64.0,36,1660,254,244
2024-07-18 08:10:46,242,6,721,2,5,128.0,256.0,256.0,64.0,36,1695,259,249
2024-07-18 08:10:47,247,6,736,2,5,128.0,256.0,256.0,64.0,36,1730,264,254
2024-07-18 08:10:48,252,6,751,2,5,128.0,256.0,256.0,64.0,36,1765,269,259
2024-07-18 08:10:49,257,6,766,2,5,128.0,256.0,256.0,64.0,36,1800,274,264
2024-07-18 08:10:50,262,6,781,2,5,128.0,256.0,256.0,64.0,36,1835,279,269
2024-07-18 08:10:51,267,6,796,2,5,128.0,256.0,256.0,64.0,36,1870,284,274
