,,,,,globalP,globalP,globalP,globalP,globalP,globalP,packetP,packetP,packetP,packetP,packetP,packetP,sessionP,sessionP,sessionP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_upf1,phoenix_memory_cm_used_chunk_count_cm_globalP_upf1,phoenix_memory_pool_create_count_cm_globalP_upf1,phoenix_memory_pool_destroy_count_cm_globalP_upf1,total_allocated_memory_globalP_upf1,chunk_create_count_minus_destroy_count_cm_globalP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_upf1,phoenix_memory_cm_used_chunk_count_cm_packetP_upf1,phoenix_memory_pool_create_count_cm_packetP_upf1,phoenix_memory_pool_destroy_count_cm_packetP_upf1,total_allocated_memory_packetP_upf1,chunk_create_count_minus_destroy_count_cm_packetP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_upf1,phoenix_memory_cm_used_chunk_count_cm_sessionP_upf1,phoenix_memory_pool_create_count_cm_sessionP_upf1,phoenix_memory_pool_destroy_count_cm_sessionP_upf1,total_allocated_memory_sessionP_upf1,chunk_create_count_minus_destroy_count_cm_sessionP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_upf1,phoenix_memory_cm_used_chunk_count_cm_transactionP_upf1,phoenix_memory_pool_create_count_cm_transactionP_upf1,phoenix_memory_pool_destroy_count_cm_transactionP_upf1,total_allocated_memory_transactionP_upf1,chunk_create_count_minus_destroy_count_cm_transactionP_upf1
timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-24 08:45:50,28,0,0,9972,19,39,39,0,32.0,39,124,85,5433,5366,32.0,67,12,602,659,57,32.0,602,2,4,116,112,32.0,4
2024-06-24 08:45:51,29,0,0,9971,19,39,39,0,32.0,39,128,87,5667,5598,32.0,69,12,623,682,59,32.0,623,2,4,119,115,32.0,4
2024-06-24 08:45:52,30,0,0,9970,19,39,39,0,32.0,39,132,90,5905,5834,32.0,71,12,644,705,61,32.0,644,2,4,122,118,32.0,4
2024-06-24 08:45:53,31,0,0,9969,19,39,39,0,32.0,39,136,93,6147,6074,32.0,73,12,665,728,63,32.0,665,2,4,125,121,32.0,4
2024-06-24 08:45:54,32,0,0,9968,19,39,39,0,32.0,39,140,95,6393,6318,32.0,75,12,686,751,65,32.0,686,2,4,128,124,32.0,4
2024-06-24 08:45:55,33,0,0,9967,19,39,39,0,32.0,39,144,98,6643,6566,32.0,77,12,707,774,67,32.0,707,2,4,131,127,32.0,4
2024-06-24 08:45:56,34,0,0,9966,19,39,39,0,32.0,39,148,101,6897,6818,32.0,79,12,728,797,69,32.0,728,2,4,134,130,32.0,4
2024-06-24 08:45:57,35,0,0,9965,19,39,39,0,32.0,39,152,103,7155,7074,32.0,81,12,749,820,71,32.0,749,2,4,137,133,32.0,4
2024-06-24 08:45:58,36,0,0,9964,19,39,39,0,32.0,39,156,106,7417,7334,32.0,83,12,770,843,73,32.0,770,2,4,140,136,32.0,4
2024-06-24 08:45:59,37,0,0,9963,19,39,39,0,32.0,39,160,109,7683,7598,32.0,85,12,791,866,75,32.0,791,2,4,143,139,32.0,4
2024-06-24 08:46:00,38,0,0,9962,19,39,39,0,32.0,39,164,111,7953,7866,32.0,87,12,812,889,77,32.0,812,2,4,146,142,32.0,4
2024-06-24 08:46:01,39,0,0,9961,19,39,39,0,32.0,39,168,114,8227,8138,32.0,89,12,833,912,79,32.0,833,2,4,149,145,32.0,4
2024-06-24 08:46:02,40,0,0,9960,19,39,39,0,32.0,39,172,117,8505,8414,32.0,91,12,854,935,81,32.0,854,2,4,152,148,32.0,4
2024-06-24 08:46:03,41,0,0,9959,19,39,39,0,32.0,39,176,119,8787,8694,32.0,93,12,875,958,83,32.0,875,2,4,155,151,32.0,4
2024-06-24 08:46:04,42,0,0,9958,19,39,39,0,32.0,39,180,122,9073,8978,32.0,95,12,896,981,85,32.0,896,2,4,158,154,32.0,4
2024-06-24 08:46:05,43,0,0,9957,19,39,39,0,32.0,39,184,125,9363,9266,32.0,97,12,917,1004,87,32.0,917,2,4,161,157,32.0,4
2024-06-24 08:46:06,44,0,0,9956,19,39,39,0,32.0,39,188,127,9657,9558,32.0,99,12,938,1027,89,32.0,938,2,4,164,160,32.0,4
2024-06-24 08:46:07,45,0,0,9955,19,39,39,0,32.0,39,192,130,9955,9854,32.0,101,12,959,1050,91,32.0,959,2,4,167,163,32.0,4
2024-06-24 08:46:08,46,0,0,9954,19,39,39,0,32.0,39,196,133,10257,10154,32.0,103,12,980,1073,93,32.0,980,2,4,170,166,32.0,4
2024-06-24 08:46:09,47,0,0,9953,19,39,39,0,32.0,39,200,135,10563,10458,32.0,105,12,1001,1096,95,32.0,1001,2,4,173,169,32.0,4
2024-06-24 08:46:10,48,0,0,9952,19,39,39,0,32.0,39,204,138,10873,10766,32.0,107,12,1022,1119,97,32.0,1022,2,4,176,172,32.0,4
2024-06-24 08:46:11,49,0,0,9951,19,39,39,0,32.0,39,208,141,11187,11078,32.0,109,12,1043,1142,99,32.0,1043,2,4,179,175,32.0,4
2024-06-24 08:46:12,50,0,0,9950,19,39,39,0,32.0,39,212,143,11505,11394,32.0,111,12,1064,1165,101,32.0,1064,2,4,182,178,32.0,4
2024-06-24 08:46:13,49,1,0,9950,19,39,39,0,32.0,39,216,143,11756,11645,32.0,111,12,1064,1166,102,32.0,1064,2,4,183,179,32.0,4
2024-06-24 08:46:14,50,0,0,9950,19,39,39,0,32.0,39,216,143,12008,11897,32.0,111,12,1064,1167,103,32.0,1064,2,4,184,180,32.0,4
2024-06-24 08:46:15,50,0,0,9950,19,39,39,0,32.0,39,216,143,12226,12115,32.0,111,12,1064,1167,103,32.0,1064,2,4,185,181,32.0,4
2024-06-24 08:46:16,50,0,0,9950,19,39,39,0,32.0,39,216,143,12444,12333,32.0,111,12,1064,1167,103,32.0,1064,2,4,186,182,32.0,4
2024-06-24 08:46:17,50,0,0,9950,19,39,39,0,32.0,39,216,143,12662,12551,32.0,111,12,1064,1167,103,32.0,1064,2,4,187,183,32.0,4
2024-06-24 08:46:18,50,0,0,9950,19,39,39,0,32.0,39,216,143,12880,12769,32.0,111,12,1064,1167,103,32.0,1064,2,4,188,184,32.0,4
