timestamp,subscriber_count_Connected_x,subscriber_count_Connected_y,subscriber_count_Connected_x,subscriber_count_Connected_y,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_ausf,total_allocated_memory_globalP_ausf,total_allocated_memory_packetP_ausf,total_allocated_memory_sessionP_ausf,total_allocated_memory_transactionP_ausf,chunk_create_count_minus_destroy_count_cm_globalP_ausf,chunk_create_count_minus_destroy_count_cm_packetP_ausf,chunk_create_count_minus_destroy_count_cm_sessionP_ausf,chunk_create_count_minus_destroy_count_cm_transactionP_ausf
2024-07-12 08:02:23,370,0,0,9630,18,54,1,1,256.0,256.0,256.0,256.0,37,3,1,4
2024-07-12 08:02:24,375,0,0,9625,18,55,1,1,256.0,256.0,256.0,256.0,37,3,1,4
2024-07-12 08:02:25,380,0,0,9620,19,55,1,1,256.0,256.0,256.0,256.0,38,3,1,4
2024-07-12 08:02:26,385,0,0,9615,19,56,1,1,256.0,256.0,256.0,256.0,38,3,1,4
2024-07-12 08:02:27,390,0,0,9610,19,57,1,1,256.0,256.0,256.0,256.0,38,3,1,4
2024-07-12 08:02:28,395,0,0,9605,19,57,1,1,256.0,256.0,256.0,256.0,38,3,1,4
2024-07-12 08:02:29,400,0,0,9600,20,58,1,1,256.0,256.0,256.0,256.0,39,3,1,4
2024-07-12 08:02:30,405,0,0,9595,20,59,1,1,256.0,256.0,256.0,256.0,39,3,1,4
2024-07-12 08:02:31,410,0,0,9590,20,59,1,1,256.0,256.0,256.0,256.0,39,3,1,4
2024-07-12 08:02:32,415,0,0,9585,20,60,1,1,256.0,256.0,256.0,256.0,39,3,1,4
2024-07-12 08:02:33,420,0,0,9580,20,61,1,1,256.0,256.0,256.0,256.0,39,3,1,4
2024-07-12 08:02:34,425,0,0,9575,21,61,1,1,256.0,256.0,256.0,256.0,40,3,1,4
2024-07-12 08:02:35,430,0,0,9570,21,62,1,1,256.0,256.0,256.0,256.0,40,3,1,4
2024-07-12 08:02:36,435,0,0,9565,21,63,1,1,256.0,256.0,256.0,256.0,40,3,1,4
2024-07-12 08:02:37,439,0,1,9560,21,63,1,1,256.0,256.0,256.0,256.0,40,3,1,4
2024-07-12 08:02:38,444,0,1,9555,22,64,1,1,256.0,256.0,256.0,256.0,41,3,1,4
2024-07-12 08:02:39,449,0,1,9550,22,65,1,1,256.0,256.0,256.0,256.0,41,3,1,4
2024-07-12 08:02:40,454,0,1,9545,22,65,1,1,256.0,256.0,256.0,256.0,41,3,1,4
2024-07-12 08:02:41,459,0,1,9540,22,66,1,1,256.0,256.0,256.0,256.0,41,3,1,4
2024-07-12 08:02:42,464,0,1,9535,23,67,1,1,256.0,256.0,256.0,256.0,42,3,1,4
2024-07-12 08:02:43,469,0,1,9530,23,67,1,1,256.0,256.0,256.0,256.0,42,3,1,4
2024-07-12 08:02:44,474,0,1,9525,23,68,1,1,256.0,256.0,256.0,256.0,42,3,1,4
2024-07-12 08:02:45,479,0,1,9520,23,69,1,1,256.0,256.0,256.0,256.0,42,3,1,4
2024-07-12 08:02:46,484,0,1,9515,24,69,1,1,256.0,256.0,256.0,256.0,43,3,1,4
2024-07-12 08:02:47,489,0,1,9510,24,70,1,1,256.0,256.0,256.0,256.0,43,3,1,4
2024-07-12 08:02:48,494,0,1,9505,24,71,1,1,256.0,256.0,256.0,256.0,43,3,1,4
2024-07-12 08:02:49,499,0,1,9500,24,71,1,1,256.0,256.0,256.0,256.0,43,3,1,4
2024-07-12 08:02:50,504,0,1,9495,24,76,1,1,256.0,256.0,256.0,256.0,43,3,1,4
2024-07-12 08:02:51,509,0,1,9490,25,77,1,1,256.0,256.0,256.0,256.0,44,3,1,4
2024-07-12 08:02:52,514,0,1,9485,25,78,1,1,256.0,256.0,256.0,256.0,44,3,1,4
2024-07-12 08:02:53,519,0,1,9480,25,78,1,1,256.0,256.0,256.0,256.0,44,3,1,4
2024-07-12 08:02:54,524,0,1,9475,25,79,1,1,256.0,256.0,256.0,256.0,44,3,1,4
2024-07-12 08:02:55,529,0,1,9470,26,80,1,1,256.0,256.0,256.0,256.0,45,3,1,4
2024-07-12 08:02:56,534,0,1,9465,26,81,1,1,256.0,256.0,256.0,256.0,45,3,1,4
2024-07-12 08:02:57,539,0,1,9460,26,81,1,1,256.0,256.0,256.0,256.0,45,3,1,4
2024-07-12 08:02:58,544,0,1,9455,26,82,1,1,256.0,256.0,256.0,256.0,45,3,1,4
2024-07-12 08:02:59,549,0,1,9450,27,83,1,1,256.0,256.0,256.0,256.0,46,3,1,4
2024-07-12 08:03:00,554,0,1,9445,27,83,1,1,256.0,256.0,256.0,256.0,46,3,1,4
2024-07-12 08:03:01,559,0,1,9440,27,84,1,1,256.0,256.0,256.0,256.0,46,3,1,4
2024-07-12 08:03:02,564,0,1,9435,27,85,1,1,256.0,256.0,256.0,256.0,46,3,1,4
2024-07-12 08:03:03,569,0,1,9430,28,86,1,1,256.0,256.0,256.0,256.0,47,3,1,4
2024-07-12 08:03:04,574,0,1,9425,28,86,1,1,256.0,256.0,256.0,256.0,47,3,1,4
2024-07-12 08:03:05,579,0,1,9420,28,87,1,1,256.0,256.0,256.0,256.0,47,3,1,4
2024-07-12 08:03:06,584,0,1,9415,28,88,1,1,256.0,256.0,256.0,256.0,47,3,1,4
2024-07-12 08:03:07,589,0,1,9410,28,88,1,1,256.0,256.0,256.0,256.0,47,3,1,4
2024-07-12 08:03:08,594,0,1,9405,29,89,1,1,256.0,256.0,256.0,256.0,48,3,1,4
2024-07-12 08:03:09,599,0,1,9400,29,90,1,1,256.0,256.0,256.0,256.0,48,3,1,4
2024-07-12 08:03:10,604,0,1,9395,29,91,1,1,256.0,256.0,256.0,256.0,48,3,1,4
2024-07-12 08:03:11,609,0,1,9390,29,91,1,1,256.0,256.0,256.0,256.0,48,3,1,4
2024-07-12 08:03:12,614,0,1,9385,30,92,1,1,256.0,256.0,256.0,256.0,49,3,1,4
2024-07-12 08:03:13,619,0,1,9380,30,93,1,1,256.0,256.0,256.0,256.0,49,3,1,4
2024-07-12 08:03:14,624,0,1,9375,30,93,1,1,256.0,256.0,256.0,256.0,49,3,1,4
2024-07-12 08:03:15,629,0,1,9370,30,94,1,1,256.0,256.0,256.0,256.0,49,3,1,4
2024-07-12 08:03:16,634,0,1,9365,31,95,1,1,256.0,256.0,256.0,256.0,50,3,1,4
2024-07-12 08:03:17,639,0,1,9360,31,96,1,1,256.0,256.0,256.0,256.0,50,3,1,4
2024-07-12 08:03:18,644,0,1,9355,31,96,1,1,256.0,256.0,256.0,256.0,50,3,1,4
2024-07-12 08:03:19,649,0,1,9350,31,97,1,1,256.0,256.0,256.0,256.0,50,3,1,4
2024-07-12 08:03:20,654,0,1,9345,32,98,1,1,256.0,256.0,256.0,256.0,51,3,1,4
2024-07-12 08:03:21,659,0,1,9340,32,98,1,1,256.0,256.0,256.0,256.0,51,3,1,4
2024-07-12 08:03:22,664,0,1,9335,32,99,1,1,256.0,256.0,256.0,256.0,51,3,1,4
