,,globalP,globalP,globalP,packetP,packetP,packetP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,total_allocated_memory_globalP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,total_allocated_memory_packetP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,total_allocated_memory_sessionP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
timestamp,,,,,,,,,,,,,
2024-07-24 09:29:14,45,8,511.998046875,39,167,512.0,146,8,511.998046875,1289,3,512.0,5
2024-07-24 09:29:15,46,8,511.998046875,39,170,512.0,149,8,511.998046875,1316,3,512.0,5
2024-07-24 09:29:16,47,8,511.998046875,39,174,512.0,152,8,511.998046875,1343,3,512.0,5
2024-07-24 09:29:17,48,8,511.998046875,39,177,512.0,155,8,511.998046875,1370,3,512.0,5
2024-07-24 09:29:18,49,8,511.998046875,39,181,512.0,158,8,511.998046875,1397,3,512.0,5
2024-07-24 09:29:19,50,8,511.998046875,39,184,512.0,161,8,511.998046875,1424,3,512.0,5
2024-07-24 09:29:20,51,8,511.998046875,39,188,512.0,164,8,511.998046875,1451,3,512.0,5
2024-07-24 09:29:21,52,8,511.998046875,39,191,512.0,167,8,511.998046875,1478,3,512.0,5
2024-07-24 09:29:22,53,8,511.998046875,39,195,512.0,170,8,511.998046875,1505,3,512.0,5
2024-07-24 09:29:23,54,8,511.998046875,39,198,512.0,173,8,511.998046875,1532,3,512.0,5
2024-07-24 09:29:24,55,8,511.998046875,39,202,512.0,176,8,511.998046875,1559,3,512.0,5
