Date,Per UE packetP_amf mempool needed,Per UE transactionP_amf mempool needed,Per UE sessionP_amf mempool needed,Per UE globalP_amf mempool needed
,0.021739130434783,,,
,,,,
,,,,
,,,,
,,,,
,0.020833333333333,,,
,0.023255813953488,,,
,0.021739130434783,,,
,,,,
,,,,
,,,,
,,0.002264968487395,,
,,0.00219131097561,,
,,,0.00244140625,
,,,0.002520161290323,
,,,,0.0015943877551020005
,,,,0.0015943877551020409
,,,,0.0015943877551020409
,0.022222222222222227,,,
,0.021739130434782608,,,
,0.02325581395348837,,,
,0.02127659574468085,,,
,0.022222222222222227,,,
,0.022727272727272728,,,
,0.022222222222222227,,,
