timestamp,subscriber_count_Connected_x,subscriber_count_Connected_y,subscriber_count_Connected_x,subscriber_count_Connected_y,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_ausf,total_allocated_memory_globalP_ausf,total_allocated_memory_packetP_ausf,total_allocated_memory_sessionP_ausf,total_allocated_memory_transactionP_ausf,chunk_create_count_minus_destroy_count_cm_globalP_ausf,chunk_create_count_minus_destroy_count_cm_packetP_ausf,chunk_create_count_minus_destroy_count_cm_sessionP_ausf,chunk_create_count_minus_destroy_count_cm_transactionP_ausf
2024-07-09 09:04:21,0,0,0,10000,3,5,1,1,32.0,32.0,32.0,32.0,20,3,1,4
2024-07-09 09:04:22,1,0,0,9999,3,5,1,1,32.0,32.0,32.0,32.0,20,3,1,4
2024-07-09 09:04:23,2,0,0,9998,3,5,1,1,32.0,32.0,32.0,32.0,20,3,1,4
2024-07-09 09:04:24,3,0,0,9997,3,5,1,1,32.0,32.0,32.0,32.0,20,3,1,4
2024-07-09 09:04:25,4,0,0,9996,3,5,1,1,32.0,32.0,32.0,32.0,20,3,1,4
2024-07-09 09:04:26,5,0,0,9995,3,5,1,1,32.0,32.0,32.0,32.0,20,3,1,4
2024-07-09 09:04:27,6,0,0,9994,3,6,1,1,32.0,32.0,32.0,32.0,20,3,1,4
2024-07-09 09:04:28,7,0,0,9993,3,6,1,1,32.0,32.0,32.0,32.0,20,3,1,4
2024-07-09 09:04:29,8,0,0,9992,3,6,1,1,32.0,32.0,32.0,32.0,20,3,1,4
2024-07-09 09:04:30,9,0,0,9991,3,6,1,1,32.0,32.0,32.0,32.0,20,3,1,4
2024-07-09 09:04:31,10,0,0,9990,3,6,1,1,32.0,32.0,32.0,32.0,20,3,1,4
2024-07-09 09:04:32,11,0,0,9989,3,6,1,1,32.0,32.0,32.0,32.0,20,3,1,4
2024-07-09 09:04:33,12,0,0,9988,3,6,1,1,32.0,32.0,32.0,32.0,20,3,1,4
2024-07-09 09:04:34,13,0,0,9987,3,6,1,1,32.0,32.0,32.0,32.0,20,3,1,4
2024-07-09 09:04:35,14,0,0,9986,3,7,1,1,32.0,32.0,32.0,32.0,20,3,1,4
2024-07-09 09:04:36,15,0,0,9985,3,7,1,1,32.0,32.0,32.0,32.0,20,3,1,4
2024-07-09 09:04:37,16,0,0,9984,3,7,1,1,32.0,32.0,32.0,32.0,20,3,1,4
2024-07-09 09:04:38,17,0,0,9983,3,7,1,1,32.0,32.0,32.0,32.0,20,3,1,4
2024-07-09 09:04:39,18,0,0,9982,3,7,1,1,32.0,32.0,32.0,32.0,20,3,1,4
2024-07-09 09:04:40,19,0,0,9981,3,7,1,1,32.0,32.0,32.0,32.0,21,3,1,4
2024-07-09 09:04:41,20,0,0,9980,3,7,1,1,32.0,32.0,32.0,32.0,21,3,1,4
2024-07-09 09:04:42,21,0,0,9979,3,8,1,1,32.0,32.0,32.0,32.0,21,3,1,4
2024-07-09 09:04:43,22,0,0,9978,3,8,1,1,32.0,32.0,32.0,32.0,21,3,1,4
2024-07-09 09:04:44,23,0,0,9977,3,8,1,1,32.0,32.0,32.0,32.0,21,3,1,4
2024-07-09 09:04:45,24,0,0,9976,3,8,1,1,32.0,32.0,32.0,32.0,21,3,1,4
