timestamp,subscriber_count_Connected_x,subscriber_count_Connected_y,subscriber_count_Connected_x,subscriber_count_Connected_y,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_upf1,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_upf1,total_allocated_memory_globalP_upf1,total_allocated_memory_packetP_upf1,total_allocated_memory_sessionP_upf1,total_allocated_memory_transactionP_upf1,chunk_create_count_minus_destroy_count_cm_globalP_upf1,chunk_create_count_minus_destroy_count_cm_packetP_upf1,chunk_create_count_minus_destroy_count_cm_sessionP_upf1,chunk_create_count_minus_destroy_count_cm_transactionP_upf1
2024-07-12 08:01:32,115,0,0,9885,19,10,12,2,256.0,256.0,256.0,256.0,39,238,2408,4
2024-07-12 08:01:33,120,0,0,9880,19,471,12,2,256.0,256.0,256.0,256.0,39,248,2513,4
2024-07-12 08:01:34,125,0,0,9875,19,491,12,2,256.0,256.0,256.0,256.0,39,258,2618,4
2024-07-12 08:01:35,130,0,0,9870,19,511,12,2,256.0,256.0,256.0,256.0,39,268,2723,4
2024-07-12 08:01:36,135,0,0,9865,19,531,12,2,256.0,256.0,256.0,256.0,39,278,2828,4
2024-07-12 08:01:37,140,0,0,9860,19,551,12,2,256.0,256.0,256.0,256.0,39,288,2933,4
2024-07-12 08:01:38,145,0,0,9855,19,571,12,2,256.0,256.0,256.0,256.0,39,298,3038,4
2024-07-12 08:01:39,150,0,0,9850,19,591,12,2,256.0,256.0,256.0,256.0,39,308,3143,4
2024-07-12 08:01:40,155,0,0,9845,19,611,12,2,256.0,256.0,256.0,256.0,39,318,3248,4
2024-07-12 08:01:41,160,0,0,9840,19,631,12,2,256.0,256.0,256.0,256.0,39,328,3353,4
2024-07-12 08:01:42,165,0,0,9835,19,651,12,2,256.0,256.0,256.0,256.0,39,338,3458,4
2024-07-12 08:01:43,170,0,0,9830,19,671,12,2,256.0,256.0,256.0,256.0,39,348,3563,4
2024-07-12 08:01:44,175,0,0,9825,19,691,12,2,256.0,256.0,256.0,256.0,39,358,3668,4
2024-07-12 08:01:45,180,0,0,9820,19,711,12,2,256.0,256.0,256.0,256.0,39,368,3773,4
2024-07-12 08:01:46,185,0,0,9815,19,731,12,2,256.0,256.0,256.0,256.0,39,378,3878,4
2024-07-12 08:01:47,190,0,0,9810,19,751,12,2,256.0,256.0,256.0,256.0,39,388,3983,4
2024-07-12 08:01:48,195,0,0,9805,19,771,12,2,256.0,256.0,256.0,256.0,39,398,4088,4
2024-07-12 08:01:49,200,0,0,9800,19,791,12,2,256.0,256.0,256.0,256.0,39,406,4172,4
2024-07-12 08:01:50,205,0,0,9795,19,810,12,2,256.0,256.0,256.0,256.0,39,418,4298,4
