timestamp,http_client_request_count_amf,http_client_response_count_amf,http_server_request_count_amf,cpu_amf_system,cpu_amf_user,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_used_cm_globalP_amf,phoenix_memory_used_cm_packetP_amf,phoenix_memory_used_cm_sessionP_amf,phoenix_memory_used_cm_transactionP_amf
2024-02-19 07:12:45,7,7,3,0.03,0.009999999999999998,0,0,0,10000,37684,0,5184,592
2024-02-19 07:12:46,31,31,3,0.04,0.03,11,0,0,9989,39220,7560,12184,1936
2024-02-19 07:12:47,91,91,3,0.05,0.06,31,0,0,9969,43060,26460,29684,5296
2024-02-19 07:12:48,151,151,3,0.07,0.1,51,0,0,9949,46900,45360,47184,8656
2024-02-19 07:12:49,211,211,3,0.09,0.13,71,0,0,9929,50740,64260,64684,12016
2024-02-19 07:12:50,271,271,3,0.12,0.15000000000000002,91,0,0,9909,54580,83160,82184,15376
2024-02-19 07:12:51,331,331,3,0.14,0.19,111,0,0,9889,58420,102060,99684,18736
2024-02-19 07:12:52,391,391,3,0.17,0.22,131,0,0,9869,62260,120960,117184,22096
2024-02-19 07:12:53,451,451,3,0.18,0.27,151,0,0,9849,66100,139860,134684,25456
2024-02-19 07:12:54,511,511,3,0.23,0.30000000000000004,171,0,0,9829,69940,158760,152184,28816
2024-02-19 07:12:55,571,571,3,0.27,0.35000000000000003,191,0,0,9809,73780,177660,169684,32176
2024-02-19 07:12:56,631,631,3,0.31,0.3700000000000001,211,0,0,9789,77620,196560,187184,35536
2024-02-19 07:12:57,691,691,3,0.33,0.41,231,0,0,9769,81460,215460,204684,38896
2024-02-19 07:12:58,751,751,3,0.37,0.4400000000000001,251,0,0,9749,85300,234360,222184,42256
2024-02-19 07:12:59,811,811,3,0.4,0.48,271,0,0,9729,89140,253260,239684,45616
2024-02-19 07:13:00,872,871,3,0.43,0.55,291,0,0,9709,92980,272160,258683,53059
2024-02-19 07:13:01,931,931,3,0.48,0.5800000000000001,311,0,0,9689,96820,291060,274684,52336
2024-02-19 07:13:02,991,991,3,0.5,0.6300000000000001,331,0,0,9669,100660,309960,292184,55696
2024-02-19 07:13:03,1051,1051,3,0.54,0.67,351,0,0,9649,104500,328860,309684,59056
2024-02-19 07:13:04,1111,1111,3,0.57,0.7100000000000001,371,0,0,9629,108340,347760,327184,62416
2024-02-19 07:13:05,1171,1171,3,0.6,0.7700000000000001,391,0,0,9609,112180,366660,344684,65776
2024-02-19 07:13:06,1231,1231,3,0.63,0.8200000000000001,411,0,0,9589,116020,385560,362184,69136
2024-02-19 07:13:07,1291,1291,3,0.66,0.8700000000000001,431,0,0,9569,119860,404460,379684,72496
2024-02-19 07:13:08,1352,1351,3,0.71,0.93,451,0,0,9549,123700,424144,398683,79939
2024-02-19 07:13:09,1411,1411,3,0.75,0.98,471,0,0,9529,127540,442260,414684,79216
2024-02-19 07:13:10,1471,1471,3,0.76,1.06,491,0,0,9509,131380,461160,432184,82576
