timestamp,http_client_request_count_amf,http_client_response_count_amf,http_server_request_count_amf,cpu_amf_system,cpu_amf_user,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_used_cm_globalP_amf,phoenix_memory_used_cm_packetP_amf,phoenix_memory_used_cm_sessionP_amf,phoenix_memory_used_cm_transactionP_amf
2024-01-29 09:26:03,497,497,101,0.2,0.3,99,0,0,9901,72148,105341,90934,17056
2024-01-29 09:26:04,547,547,111,0.22,0.34,109,0,1,9890,75668,116100,99684,18736
2024-01-29 09:26:05,597,597,121,0.26,0.36,119,0,1,9880,79188,126860,108434,20416
2024-01-29 09:26:06,647,647,131,0.27,0.42,129,0,1,9870,82708,137620,117184,22096
2024-01-29 09:26:07,697,697,141,0.3,0.44,139,0,1,9860,86228,148380,125934,23776
2024-01-29 09:26:08,747,747,151,0.31,0.48,149,0,1,9850,89748,159140,134684,25456
2024-01-29 09:26:09,797,797,161,0.33,0.5499999999999999,159,0,1,9840,93268,169900,143434,27136
2024-01-29 09:26:10,847,847,171,0.37,0.57,169,0,1,9830,96788,180660,152184,28816
2024-01-29 09:26:11,897,897,181,0.39,0.61,179,0,1,9820,100308,191420,160934,30496
2024-01-29 09:26:12,947,947,191,0.41,0.66,189,0,1,9810,103828,202180,169684,32176
2024-01-29 09:26:13,997,997,201,0.44,0.69,199,0,1,9800,107348,212940,178434,33856
2024-01-29 09:26:14,1047,1047,211,0.48,0.72,209,0,1,9790,110868,223700,187184,35536
2024-01-29 09:26:15,1097,1097,221,0.52,0.77,219,0,1,9780,114388,234460,195934,37216
2024-01-29 09:26:16,1147,1147,231,0.53,0.82,229,0,1,9770,117908,245220,204684,38896
2024-01-29 09:26:17,1197,1197,241,0.5599999999999999,0.86,239,0,1,9760,121428,255980,213434,40576
2024-01-29 09:26:18,1247,1247,251,0.58,0.91,249,0,1,9750,124948,266740,222184,42256
2024-01-29 09:26:19,1297,1297,261,0.61,0.94,259,0,1,9740,128468,277500,230934,43936
2024-01-29 09:26:20,1346,1346,271,0.61,0.99,268,0,2,9730,131924,288260,239684,45616
2024-01-29 09:26:21,1396,1396,281,0.64,1.02,278,0,2,9720,135444,299020,248434,47296
2024-01-29 09:26:22,1446,1446,291,0.67,1.05,288,0,2,9710,138964,309780,257184,48976
2024-01-29 09:26:23,1496,1496,301,0.7,1.09,298,0,2,9700,142484,320540,265934,50656
2024-01-29 09:26:24,1546,1546,311,0.72,1.15,308,0,2,9690,146004,331300,274684,52336
2024-01-29 09:26:25,1596,1596,321,0.75,1.2,319,0,1,9680,149524,342060,283434,54016
2024-01-29 09:26:26,1646,1646,331,0.79,1.25,329,0,1,9670,153044,352820,292184,55696
2024-01-29 09:26:27,1696,1696,341,0.82,1.29,338,0,2,9660,156564,363580,300934,57376
2024-01-29 09:26:28,1746,1746,351,0.86,1.33,348,0,2,9650,160084,374340,309684,59056
2024-01-29 09:26:29,1796,1796,361,0.9,1.39,359,0,1,9640,163604,385100,318434,60736
2024-01-29 09:26:30,1846,1846,371,0.93,1.44,368,0,2,9630,167124,395860,327184,62416
2024-01-29 09:26:31,1896,1896,381,0.95,1.5,378,0,2,9620,170644,406620,335934,64096
2024-01-29 09:26:32,1946,1946,391,1.0,1.55,388,0,2,9610,174164,417380,344684,65776
2024-01-29 09:26:33,1996,1996,401,1.03,1.6,398,0,2,9600,177684,428140,353434,67456
2024-01-29 09:26:34,2046,2046,411,1.07,1.64,409,0,1,9590,181204,438900,362184,69136
2024-01-29 09:26:35,2096,2096,421,1.11,1.7,418,0,2,9580,184724,449660,370934,70816
2024-01-29 09:26:36,2146,2146,431,1.15,1.76,429,0,1,9570,188244,460420,379684,72496
2024-01-29 09:26:37,2196,2196,441,1.19,1.8,439,0,1,9560,191764,471180,388434,74176
2024-01-29 09:26:38,2246,2246,451,1.23,1.85,449,0,1,9550,195284,481940,397184,75856
2024-01-29 09:26:39,2296,2296,461,1.28,1.91,459,0,1,9540,198804,492700,405934,77536
2024-01-29 09:26:40,2346,2346,471,1.3,1.97,469,0,1,9530,202324,503460,414684,79216
2024-01-29 09:26:41,2396,2396,481,1.36,2.03,478,0,2,9520,205844,514220,423434,80896
2024-01-29 09:26:42,2446,2446,491,1.4,2.09,489,0,1,9510,209364,524980,432184,82576
2024-01-29 09:26:43,2496,2496,501,1.43,2.17,499,0,1,9500,212884,535740,440934,84256
2024-01-29 09:26:44,2546,2546,511,1.47,2.25,508,0,2,9490,216404,546500,449684,85936
2024-01-29 09:26:45,2596,2596,521,1.5,2.32,519,0,1,9480,219924,557260,458434,87616
2024-01-29 09:26:46,2646,2646,531,1.52,2.41,529,0,1,9470,223444,568020,467184,89296
2024-01-29 09:26:47,2696,2696,541,1.58,2.46,539,0,1,9460,226964,578780,475934,90976
2024-01-29 09:26:48,2746,2746,551,1.62,2.54,548,0,2,9450,230484,589540,484684,92656
2024-01-29 09:26:49,2796,2796,561,1.66,2.62,559,0,1,9440,234004,600300,493434,94336
2024-01-29 09:26:50,2846,2846,571,1.71,2.68,569,0,1,9430,237524,611060,502184,96016
2024-01-29 09:26:51,2896,2896,581,1.77,2.74,579,0,1,9420,241044,621820,510934,97696
2024-01-29 09:26:52,2946,2946,591,1.81,2.81,589,0,1,9410,244564,632580,519684,99376
2024-01-29 09:26:53,2996,2996,601,1.85,2.87,599,0,1,9400,248084,643340,528434,101056
2024-01-29 09:26:54,3046,3046,611,1.91,2.92,609,0,1,9390,251604,654100,537184,102736
2024-01-29 09:26:55,3096,3096,621,1.93,2.99,619,0,1,9380,255124,664860,545934,104416
2024-01-29 09:26:56,3146,3146,631,2.01,3.05,629,0,1,9370,258644,675620,554684,106096
2024-01-29 09:26:57,3196,3196,641,2.05,3.15,639,0,1,9360,262164,686380,563434,107776
2024-01-29 09:26:58,3246,3246,651,2.09,3.23,649,0,1,9350,265684,697140,572184,109456
2024-01-29 09:26:59,3296,3296,661,2.13,3.32,658,0,2,9340,269204,707900,580934,111136
2024-01-29 09:27:00,3346,3346,671,2.18,3.4,669,0,1,9330,272724,718660,589684,112816
2024-01-29 09:27:01,3396,3396,681,2.25,3.49,679,0,1,9320,276244,729420,598434,114496
2024-01-29 09:27:02,3446,3446,691,2.34,3.56,689,0,1,9310,279764,740180,607184,116176
