timestamp,http_client_request_count_amf,http_client_response_count_amf,http_server_request_count_amf,cpu_amf_system,cpu_amf_user,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_used_cm_globalP_amf,phoenix_memory_used_cm_packetP_amf,phoenix_memory_used_cm_sessionP_amf,phoenix_memory_used_cm_transactionP_amf
2024-02-19 07:31:52,7,7,3,0.0,0.009999999999999998,0,0,0,10000,37684,0,5184,592
2024-02-19 07:31:53,7,7,3,0.0,0.009999999999999998,0,0,0,10000,37684,0,5184,592
2024-02-19 07:31:54,193,193,3,0.03,0.1,77,0,0,9923,49588,58590,59434,11008
2024-02-19 07:31:55,493,493,3,0.09,0.21,177,0,0,9823,68788,153090,146934,27808
2024-02-19 07:31:56,793,793,3,0.15,0.3200000000000001,277,0,0,9723,87988,247590,234434,44608
2024-02-19 07:31:57,1094,1093,3,0.22,0.4400000000000001,377,0,0,9623,107188,342090,321934,65491
2024-02-19 07:31:58,1394,1393,3,0.31,0.55,477,0,0,9523,126388,437374,410933,82291
2024-02-19 07:31:59,1694,1693,3,0.38,0.67,577,0,0,9423,145588,531874,498433,99091
2024-02-19 07:32:00,1994,1993,3,0.46,0.7900000000000001,677,0,0,9323,164788,626374,585933,115891
2024-02-19 07:32:01,2294,2293,3,0.52,0.93,777,0,0,9223,183988,720090,673433,132691
2024-02-19 07:32:02,2595,2593,3,0.59,1.0900000000000003,877,0,0,9123,203188,814590,760933,153574
