timestamp,http_client_request_count_amf,http_client_response_count_amf,http_server_request_count_amf,cpu_amf_system,cpu_amf_user,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_used_cm_globalP_amf,phoenix_memory_used_cm_packetP_amf,phoenix_memory_used_cm_sessionP_amf,phoenix_memory_used_cm_transactionP_amf
2024-02-17 10:23:09,1162,1162,3,49.97,54.96999999999999,339,0,46,9615,111604,335213,342059,65272
2024-02-17 10:23:10,1165,1165,3,50.0,54.98,340,0,46,9614,111796,336158,342934,65440
2024-02-17 10:23:11,1171,1171,3,50.02,55.01,342,0,46,9612,112180,338048,344684,65776
2024-02-17 10:23:12,1177,1176,3,50.03,55.06,344,0,46,9610,112468,339849,347073,69133
2024-02-17 10:23:13,1183,1182,3,50.06,55.1,346,0,46,9608,112852,341739,348823,69469
2024-02-17 10:23:14,1189,1188,3,50.09,55.13,348,0,46,9606,113236,343629,350573,69805
2024-02-17 10:23:15,1195,1194,3,50.1,55.16,350,0,46,9604,113620,345519,352323,70141
2024-02-17 10:23:16,1201,1200,3,50.12000000000001,55.2,352,0,46,9602,114004,347409,354073,70477
2024-02-17 10:23:17,1207,1206,3,50.14,55.24,354,0,46,9600,114388,349299,355823,70813
2024-02-17 10:23:18,1213,1213,3,50.17,55.26,356,0,46,9598,114868,351278,356934,68128
2024-02-17 10:23:19,1219,1218,3,50.17,55.3,358,0,46,9596,115156,353079,359323,71485
2024-02-17 10:23:20,1222,1222,3,50.21,55.34,358,0,47,9595,115444,354113,359559,68864
