timestamp,http_client_request_count_amf,http_client_response_count_amf,http_server_request_count_amf,cpu_amf_system,cpu_amf_user,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_used_cm_globalP_amf,phoenix_memory_used_cm_packetP_amf,phoenix_memory_used_cm_sessionP_amf,phoenix_memory_used_cm_transactionP_amf
2024-02-19 07:44:23,7,7,3,0.0,0.0,0,0,0,10000,37685,0,5184,592
2024-02-19 07:44:24,248,247,3,0.06999999999999999,0.12,110,0,0,9890,53013,75600,75184,18115
2024-02-19 07:44:25,848,847,3,0.21,0.34,310,0,1,9689,91413,265384,251683,51715
2024-02-19 07:44:26,1449,1447,3,0.34,0.64,510,0,1,9489,129813,454384,428182,89398
2024-02-19 07:44:27,2048,2046,3,0.47,0.95,685,0,26,9289,168181,646292,603821,126019
2024-02-19 07:44:28,2649,2647,3,0.64,1.27,907,0,4,9089,206613,832384,779681,160681
2024-02-19 07:44:29,3248,3246,3,0.7999999999999999,1.7,1106,0,6,8888,244949,1024292,953821,193219
2024-02-19 07:44:30,3848,3846,3,1.07,2.0700000000000003,1293,0,19,8688,283381,1213292,1128821,226819
2024-02-19 07:44:31,4429,4416,3,1.31,2.5500000000000003,1470,0,42,8488,320181,1401466,1311560,303652
2024-02-19 07:44:32,5049,5047,3,1.59,3.12,1680,0,32,8288,360213,1592165,1479681,295081
2024-02-19 07:44:33,5606,5564,3,1.87,3.7,1832,0,80,8088,394549,1773536,1685280,501112
