timestamp,http_client_request_count_amf,http_client_response_count_amf,http_server_request_count_amf,cpu_amf_system,cpu_amf_user,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_used_cm_globalP_amf,phoenix_memory_used_cm_packetP_amf,phoenix_memory_used_cm_sessionP_amf,phoenix_memory_used_cm_transactionP_amf
2024-02-19 07:36:39,7,7,3,0.0,0.01,0,0,0,10000,37684,0,5184,592
2024-02-19 07:36:40,205,205,3,0.05,0.09,88,0,1,9911,50356,62370,62934,11680
2024-02-19 07:36:41,656,655,3,0.15000000000000002,0.26,231,0,11,9758,79156,204904,195683,40963
2024-02-19 07:36:42,1106,1105,3,0.26,0.5,388,0,1,9611,107924,346654,326933,66163
2024-02-19 07:36:43,1556,1555,3,0.36,0.7,538,0,1,9461,136756,488404,458183,91363
2024-02-19 07:36:44,2007,2005,3,0.46,0.92,688,0,1,9311,165556,630154,589433,120646
2024-02-19 07:36:45,2457,2455,3,0.57,1.13,838,0,1,9161,194356,771120,722182,145846
2024-02-19 07:36:46,2907,2905,3,0.69,1.38,988,0,1,9011,223156,913654,854931,175129
2024-02-19 07:36:47,3357,3355,3,0.77,1.66,1138,0,1,8861,251956,1056188,986181,200329
2024-02-19 07:36:48,3807,3805,3,0.91,1.91,1288,0,1,8711,280756,1197938,1117431,225529
2024-02-19 07:36:49,4257,4255,3,1.09,2.14,1438,0,1,8561,309556,1342685,1248681,250729
