timestamp,http_client_request_count_amf,http_client_response_count_amf,http_server_request_count_amf,cpu_amf_system,cpu_amf_user,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_used_cm_globalP_amf,phoenix_memory_used_cm_packetP_amf,phoenix_memory_used_cm_sessionP_amf,phoenix_memory_used_cm_transactionP_amf
2024-01-29 11:10:00,167,167,35,0.09,0.14,35,0,0,9965,48948,34391,33184,5968
2024-01-29 11:10:01,267,267,55,0.12,0.21,55,0,0,9945,55988,55891,50684,9328
2024-01-29 11:10:02,367,367,75,0.14,0.26,75,0,0,9925,63028,77391,68184,12688
2024-01-29 11:10:03,467,467,95,0.18000000000000002,0.3,95,0,0,9905,70068,98891,85684,16048
2024-01-29 11:10:04,567,567,115,0.2,0.34,115,0,0,9885,77108,120404,103184,19408
2024-01-29 11:10:05,667,667,135,0.23,0.4,135,0,0,9865,84148,141924,120684,22768
2024-01-29 11:10:06,767,767,155,0.25,0.46,155,0,0,9845,91188,163444,138184,26128
2024-01-29 11:10:07,867,867,175,0.27,0.52,175,0,0,9825,98228,184964,155684,29488
2024-01-29 11:10:08,967,967,195,0.28,0.58,195,0,0,9805,105268,206484,173184,32848
2024-01-29 11:10:09,1067,1067,215,0.31,0.64,215,0,0,9785,112308,228004,190684,36208
2024-01-29 11:10:10,1167,1167,235,0.36,0.69,235,0,1,9764,119348,249524,208184,39568
2024-01-29 11:10:11,1267,1267,255,0.4,0.75,255,0,0,9745,126388,271044,225684,42928
2024-01-29 11:10:12,1367,1367,275,0.44,0.8,275,0,0,9725,133428,292564,243184,46288
2024-01-29 11:10:13,1467,1467,295,0.48,0.87,295,0,1,9704,140468,314084,260684,49648
2024-01-29 11:10:14,1567,1567,315,0.52,0.92,315,0,1,9684,147508,335604,278184,53008
2024-01-29 11:10:15,1668,1667,335,0.5499999999999999,0.99,335,0,1,9664,154548,357124,295684,56368
2024-01-29 11:10:16,1768,1767,355,0.59,1.05,355,0,1,9644,161588,378644,313184,63811
2024-01-29 11:10:17,1868,1867,375,0.65,1.11,375,0,1,9624,168628,400164,330684,67171
2024-01-29 11:10:18,1968,1967,395,0.7,1.17,395,0,1,9604,175668,421684,349683,70531
2024-01-29 11:10:19,2068,2067,415,0.74,1.23,415,0,1,9584,182708,443204,365684,73891
2024-01-29 11:10:20,2168,2167,435,0.79,1.3,435,0,1,9564,189748,464724,384683,77251
2024-01-29 11:10:21,2268,2267,455,0.85,1.4,455,0,1,9544,196788,486244,402183,80611
2024-01-29 11:10:22,2368,2367,475,0.87,1.49,475,0,1,9524,203828,507764,419683,83971
2024-01-29 11:10:23,2468,2467,495,0.91,1.57,495,0,1,9504,210868,529284,437183,87331
2024-01-29 11:10:24,2532,2532,508,0.96,1.61,505,0,0,9495,215444,543272,447059,85432
2024-01-29 11:10:25,2532,2532,508,0.97,1.65,505,0,0,9495,215444,543272,447059,85432
2024-01-29 11:10:26,2532,2532,508,0.99,1.69,505,0,0,9495,215444,543272,447059,85432
2024-01-29 11:10:27,2532,2532,508,1.0,1.72,505,0,0,9495,215444,543272,447059,85432
2024-01-29 11:10:28,2532,2532,508,1.03,1.75,505,0,0,9495,215444,543272,447059,85432
2024-01-29 11:10:29,2532,2532,508,1.06,1.78,505,0,0,9495,215444,543272,447059,85432
2024-01-29 11:10:30,2532,2532,508,1.09,1.8,505,0,0,9495,215444,543272,447059,85432
