http_client_request_count_smf,http_client_response_count_smf,http_server_request_count_smf,cpu_smf_system,cpu_smf_user,process_memory_smf_proportionalResident,process_memory_smf_proportionalSwapped,process_memory_smf_resident,process_memory_smf_swapped,process_memory_smf_virtual,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_used_cm_globalP_smf,phoenix_memory_used_cm_packetP_smf,phoenix_memory_used_cm_sessionP_smf,phoenix_memory_used_cm_transactionP_smf
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0012391573729863686,0.0012391573729863686,0.0012391573729863693,0.0002829654782116578,0.00019271535941414557,0.019979212380182493,1.0,0.021491911783496465,1.0,0.0,0.0012391573729863693,0.0,0.0,0.9987608426270143,0.0012391573729863548,0.0012391573729864103,0.0012390917909457203,0.0
0.002478314745972738,0.002478314745972738,0.002478314745972738,0.0005659309564233161,0.00019271535941414557,0.025368595295838653,1.0,0.031458434489279596,1.0,0.0,0.0024783147459727386,0.0,0.0,0.9975216852540285,0.0024783147459727095,0.0024783147459727095,0.0024781835818914427,0.0
0.0037174721189591068,0.0037174721189591068,0.0037174721189591076,0.0005659309564233161,0.0003854307188282907,0.03080930566783438,1.0,0.03830722445120238,1.0,0.0,0.0037174721189591076,0.0,0.0,0.996282527881041,0.0037174721189590643,0.0037174721189591198,0.0037172753728371634,0.0
0.004956629491945477,0.004956629491945477,0.004956629491945477,0.0008488964346349743,0.0003854307188282907,0.03617944078736321,1.0,0.04242160946564105,1.0,0.0,0.004956629491945477,0.0,0.0,0.9950433705080552,0.004956629491945419,0.004956629491945419,0.0049563671637828845,0.0
0.006195786864931846,0.006195786864931846,0.006195786864931846,0.001131861912846633,0.0003854307188282907,0.04154957590689198,1.0,0.04694487746288106,1.0,0.0,0.006195786864931847,0.0,0.0,0.9938042131350695,0.006195786864931885,0.00619578686493194,0.006195458954728606,0.0
0.007434944237918216,0.007434944237918216,0.007434944237918216,0.0014148273910582904,0.0005781460782424358,0.046945374754590624,1.0,0.04990927908819093,1.0,0.0,0.007434944237918215,0.0,0.0,0.992565055762082,0.0074349442379182396,0.0074349442379182396,0.007434550745674328,0.0
0.008674101610904584,0.008674101610904584,0.008674101610904586,0.0014148273910582904,0.0007708614376565814,0.052430996650883493,1.0,0.054458102271856046,1.0,0.0,0.008674101610904586,0.0,0.0,0.9913258983890962,0.008674101610904594,0.00867410161090465,0.00867364253662005,0.0
0.009913258983890953,0.009913258983890953,0.009913258983890954,0.0016977928692699486,0.0009635767970707265,0.057955114139431024,1.0,0.058649152845569985,1.0,0.0,0.009913258983890954,0.0,0.0,0.9900867410161087,0.009913258983890949,0.009913258983890949,0.009912734327565767,0.0
0.011152416356877325,0.011152416356877325,0.011152416356877325,0.001980758347481607,0.0009635767970707265,0.06352414315227575,1.0,0.07280672612506706,1.0,0.0,0.011152416356877323,0.0,0.0,0.988847583643123,0.011152416356877304,0.01115241635687736,0.011151826118511494,0.0
0.012391573729863693,0.012391573729863693,0.012391573729863693,0.001980758347481607,0.0009635767970707265,0.06922149080596937,1.0,0.07709999744448137,1.0,0.0,0.012391573729863693,0.0,0.0,0.9876084262701372,0.012391573729863659,0.012391573729863659,0.01239095305202481,0.0
0.013630731102850062,0.013630731102850062,0.013630731102850062,0.0025466893039049233,0.0009635767970707265,0.07483543134311124,1.0,0.0807799442896936,1.0,0.0,0.013630731102850062,0.0,0.0,0.9863692688971497,0.013630731102850124,0.013630731102850069,0.013630079985538128,0.0
0.01486988847583643,0.01486988847583643,0.01486988847583643,0.0028296547821165825,0.0011562921564848717,0.07989118579256008,1.0,0.08422989445708007,1.0,0.0,0.01486988847583643,0.0,0.0,0.985130111524164,0.014869888475836479,0.014869888475836479,0.014869206919051447,0.0
0.0161090458488228,0.0161090458488228,0.016109045848822803,0.00311262026032824,0.0011562921564848717,0.08592216191246102,1.0,0.0892898213692469,1.0,0.0,0.0161090458488228,0.0,0.0,0.9838909541511782,0.016109045848822723,0.01610904584882289,0.01610833385256477,0.0
0.017348203221809168,0.017348203221809168,0.01734820322180917,0.003395585738539898,0.0013490075158990172,0.09200446548870153,1.0,0.09434974828141374,1.0,0.0,0.01734820322180917,0.0,0.0,0.9826517967781907,0.01734820322180919,0.01734820322180919,0.01734746078607809,0.0
