subscriber_count_Connected_x,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_amf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_amf,total_allocated_memory_globalP_amf,total_allocated_memory_packetP_amf,total_allocated_memory_sessionP_amf,total_allocated_memory_transactionP_amf,chunk_create_count_minus_destroy_count_cm_globalP_amf,chunk_create_count_minus_destroy_count_cm_packetP_amf,chunk_create_count_minus_destroy_count_cm_sessionP_amf,chunk_create_count_minus_destroy_count_cm_transactionP_amf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0024875621890547263,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0010932375449008277,0.0009999999999999974,0.0010000000000000009
0.004975124378109453,0.0,0.0009310986964618257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002186475089801656,0.0019999999999999983,0.002
0.007462686567164179,0.0,0.002172563625077592,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003279712634702483,0.002999999999999999,0.002999999999999999
0.009950248756218905,0.0,0.0031036623215394167,0.0,1.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.004372950179603311,0.003999999999999997,0.004
0.01243781094527363,0.0,0.004345127250155184,0.0,1.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.005466187724504139,0.0049999999999999975,0.005000000000000001
0.014925373134328358,0.0,0.005276225946617008,0.0,1.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.006559425269404967,0.005999999999999998,0.006
0.017412935323383085,0.0,0.006517690875232775,0.0,1.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.007652662814305794,0.006999999999999999,0.006999999999999999
0.01990049751243781,0.0,0.0074487895716946004,0.0,1.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.008745900359206622,0.008,0.008
0.022388059701492536,0.0,0.008690254500310366,0.0,1.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.00983913790410745,0.008999999999999998,0.009000000000000001
0.02487562189054726,0.0,0.009621353196772191,0.0,1.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.010932375449008278,0.009999999999999998,0.010000000000000002
0.02736318407960199,0.0,0.010862818125387958,0.0,1.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.012025612993909106,0.011,0.011
0.029850746268656716,0.0,0.011793916821849782,0.0,1.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.013118850538809934,0.011999999999999997,0.012
0.03233830845771144,0.0,0.012725015518311606,0.0,1.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.014212088083710762,0.012999999999999998,0.013000000000000001
0.03482587064676617,0.0,0.013966480446927375,0.0,1.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.01530532562861159,0.013999999999999999,0.013999999999999999
0.03731343283582089,0.0,0.0148975791433892,0.0,1.0,0.0,0.0,0.0,0.0,0.02054794520547945,0.016398563173512418,0.015,0.015
0.03980099502487562,0.0,0.016139044072004963,0.0,1.0,0.0,0.0,0.0,0.0,0.02054794520547945,0.017491800718413247,0.016,0.016
0.04228855721393035,0.0,0.017070142768466794,0.0,1.0,0.0,0.0,0.0,0.0,0.02054794520547945,0.018585038263314074,0.017,0.017
